Gamma,Theta0,Theta1,X_mid,Z_mid,X_end,Z_end
0.0018575206404995,0.22631247851751515,-0.2500701676057762,-0.009920457072472152,-0.21111010277733006,-0.030737971393840522,-0.432128848107966
-0.2595278016302894,0.8295933033819257,-1.2763409446819303,-0.03291926042728112,-0.2092879423279008,-0.08659177057788958,-0.42362462973608755
-0.5208545854791597,1.4358705348116072,-2.1167222560352683,-0.058451484139432686,-0.20085095479233056,-0.15467354717085782,-0.40035183937803276
-0.7825097995787257,2.0487806499930095,-2.946040768530965,-0.08132119628702528,-0.19044354905283525,-0.2193738010311328,-0.36672058782661443
-1.0440319444832848,2.6175408372097366,-3.67414413910943,-0.1031668878716911,-0.17944697546493063,-0.2717459454680706,-0.31950074604245926
-1.3056316276415325,3.145916917272474,-4.267201671957891,-0.12069621062405633,-0.1638162506940683,-0.3174442337599439,-0.2672268718198024
-1.5678132285350657,3.969675827103675,-5.851822179897979,-0.13481357206832628,-0.1472920466117392,-0.3469964547682186,-0.21153777771527155
-1.829454834120599,4.070462502103307,-5.279542724248069,-0.14613906995216985,-0.1315266704108401,-0.3622229077804677,-0.1518194989662261
-2.0913099529514128,4.459502553001105,-5.681257897122567,-0.15232574910167046,-0.11871976065554793,-0.3704579706638731,-0.09844099064027065
-2.3532045767883316,4.681076904785526,-5.65817508256462,-0.15607671587527952,-0.10815978104060324,-0.36837499650884975,-0.051728111693951584
