Gamma,Theta0,Theta1
-2.879158934006001,8.7,-12.7
-2.617007902182708,7.850983860800872,-11.303578853463852
-2.35348360608238,7.20158613838811,-10.488408662112374
-2.0912352448166143,6.44729396579285,-9.377540753723668
-1.8314749143438354,5.668886787114845,-8.206077527400472
-1.5685710823836754,4.93212381801521,-7.103418755427301
-1.3067692593862175,3.9953992741657203,-5.664209091569461
-1.0465570499133534,3.048675379356418,-4.096406205830724
-0.7833435727583868,2.1668447881605593,-2.7059644339886124
-0.520933836732338,1.168704296128256,-1.0141771632907541
-0.26156208415585347,0.21666886585626452,0.597701251316388
0.0005471047385894323,-0.31821447302315387,1.2752076696002321
0.26111716897856496,-1.1286617493386528,2.5191550548375496
0.5224586215627904,-1.9775099105391098,3.8282593631437836
0.784523706029808,-3.0212634379143926,5.620414584883473
1.045279165756376,-3.998127053614091,7.258182518202604
1.3088934103992211,-4.813315569751703,8.45391630286857
1.5684350091255117,-5.688152786316504,9.83942343227932
1.8306271005730324,-6.461556926961341,10.970637962832082
2.093191313845357,-7.171989947720127,11.966994811352235
2.3534848505982024,-7.865890746873722,12.903822730558893
2.6142043012828036,-8.549315157830264,13.842204153776152
2.8768249688855594,-9.142060354753513,14.570390245315181
