Gamma,Theta0,Theta1,X_mid,Z_mid,X_end,Z_end
-1.5687480282109194,5.056734790477258,-7.470002496506244,-0.22251611492655218,-0.15452248294980553,-0.5146832018986961,-0.14234026713264505
-1.5687480282109194,5.056734790477258,-7.470002496506244,-0.22261332019179733,-0.15456941078922756,-0.5147804071639412,-0.1423871949720671
-1.5687445465863419,5.056734790477258,-7.470002496506244,-0.22332221025548704,-0.15498252750906732,-0.5154893396397622,-0.14280132890809144
-1.568746263977314,5.056734790477258,-7.470002496506244,-0.22211879205428112,-0.15501566741310435,-0.5142839249443323,-0.14277303406528863
-1.5687468236258486,5.056734790477258,-7.470002496506244,-0.22252843366822295,-0.1551170770478537,-0.5147365769582637,-0.14243210464676156
-1.5687428107618488,5.056734790477258,-7.470002496506244,-0.2225294703925523,-0.15586298128316728,-0.5151161029779614,-0.1431816954324338
-1.5687460954086558,5.056734790477258,-7.470002496506244,-0.22247449180790696,-0.15500486048521464,-0.5146788552576999,-0.14231916505408748
-1.5687479068892494,5.056734790477258,-7.470002496506244,-0.2220410511890954,-0.15500978305496227,-0.5146331912544673,-0.14237101488025095
-1.5687496837705697,5.056734790477258,-7.470002496506244,-0.2220129612805435,-0.15506906240824467,-0.5142283182588855,-0.14278084987009623
-1.5687434360684145,5.056734790477258,-7.470002496506244,-0.22163600332813133,-0.15551617014195593,-0.5142157302522022,-0.14243382345525227
-1.5687485189133221,5.056734790477258,-7.470002496506244,-0.22212054245145343,-0.15539750980881267,-0.5142876234457197,-0.14321515062456208
-1.5687470636475038,5.056734790477258,-7.470002496506244,-0.22241979619625077,-0.15462564532708795,-0.5146361335004848,-0.14239193410868972
-1.5687442917586978,5.056734790477258,-7.470002496506244,-0.22167647716229733,-0.15546880825268888,-0.5142738059836826,-0.1428353103031181
-1.566287319192648,5.024732100831768,-7.403999154291776,-0.22214396914170775,-0.15545680924747346,-0.5143880532969338,-0.14394377986299162
-1.5502109684179304,4.950523429777292,-7.250134209859881,-0.21977886357245194,-0.15782465638592583,-0.5126328774839854,-0.15032688252132398
-1.5340623947050562,4.950523429777292,-7.250134209859881,-0.21929134553380944,-0.15794244328312376,-0.5123018185914103,-0.15228928875386732
-1.5185433110748177,4.950523429777292,-7.250134209859881,-0.21979913717868632,-0.15801638735313742,-0.5126414821844313,-0.15122548052917623
-1.5017907700505129,4.941013816536904,-7.279571486004175,-0.21956426787546407,-0.15895472527309032,-0.5125789678160586,-0.15594454442776934
-1.4858231648977402,4.941013816536904,-7.279571486004175,-0.21969516106655468,-0.15944307334216912,-0.5124890840655472,-0.1573928776908519
-1.4699838315380898,4.941013816536904,-7.279571486004175,-0.21985548528429336,-0.1588234825339215,-0.5125081683086504,-0.15786499575606244
-1.4542236181936103,4.937626024463539,-7.324915530832093,-0.2195704198505657,-0.15999078986857734,-0.5124380239031162,-0.1613246707087152
-1.4385678127181654,4.938527864933993,-7.393207023540654,-0.2200325965909702,-0.16133838090971292,-0.5124714826316651,-0.1677157051958631
-1.4228686564814532,4.900420523190252,-7.35906041531057,-0.21871878117272314,-0.16336510592944514,-0.5114522146130237,-0.17532488065387947
-1.4072185340722272,4.891988427699694,-7.396808929160107,-0.21841311147521364,-0.16456273465777788,-0.5110065159509896,-0.18142529949736347
-1.3916104021693623,4.891988427699694,-7.396808929160107,-0.21813635606036835,-0.16536192029297306,-0.511162732840875,-0.18525311976866338
-1.3761190401406218,4.8594736520066695,-7.372933661919704,-0.21749472392854913,-0.1665491338603466,-0.510151673956629,-0.1884374919101451
-1.3606403472746178,4.847925793202913,-7.384114523430561,-0.21767718137019362,-0.16792350174567447,-0.5097935712596267,-0.19283220956211278
-1.3452681595151657,4.832319526965727,-7.398075319767855,-0.21743249016558153,-0.1692942497716676,-0.5087740334729918,-0.19864731596028223
-1.3299320735158107,4.798068849154119,-7.375306962176153,-0.21649568084755738,-0.17145866989133807,-0.5077312367428894,-0.206287566949393
-1.3145898939437852,4.749799162750052,-7.300739110782341,-0.21480058648859413,-0.17343648789662885,-0.5059262796266452,-0.21281064940271632
-1.2992431917503393,4.7289653487086145,-7.301559400889497,-0.21489886233553393,-0.17530700852932157,-0.5046155732829685,-0.21879891608843843
-1.284060529876027,4.7146824359212305,-7.297497077378958,-0.21398868809875415,-0.1759786010535893,-0.5038469112368146,-0.22248546578009765
-1.2687881242086954,4.7064484020351545,-7.313240221252278,-0.21428166026893533,-0.17710528887267613,-0.5029446049661078,-0.22631398220333115
-1.2536162580990438,4.653078703075525,-7.21335044977717,-0.21259254243038048,-0.17906198074478896,-0.5008055428041756,-0.23173791215400108
-1.238433397562964,4.630631634235416,-7.216960198128456,-0.21221530902607327,-0.18095066664093035,-0.49952864544099684,-0.23851832103730028
-1.223305221475789,4.59721841200248,-7.195923775785366,-0.2106228137934722,-0.182472835859064,-0.49708953247531107,-0.24585369551659703
-1.208084060877906,4.557957750097043,-7.144344263080488,-0.21009938997978106,-0.18486736668446763,-0.4953307080186002,-0.25197704907551943
-1.1929691392842807,4.5238408586336725,-7.106133147249694,-0.20892864031799288,-0.18650371001124663,-0.4932074145927443,-0.25784089736879556
-1.1779079713499006,4.500186910451513,-7.08028491966666,-0.20828104323069707,-0.18785104794179103,-0.4920475962701329,-0.2620533504332945
-1.1628701134501624,4.459937518106093,-7.014404878016888,-0.20669748413690459,-0.1893318548712945,-0.49014810135127096,-0.26702153751143554
-1.1477641643849001,4.428918452358172,-6.982380067196549,-0.20636144083296387,-0.1913701327604559,-0.48797055953537777,-0.27253379830296964
-1.1327164528497138,4.402640856937811,-6.979636543134722,-0.20553021619611975,-0.19323581349626245,-0.48602743231666,-0.2797172281998245
-1.1177021711936639,4.343336816626132,-6.877468896379512,-0.20355452400140997,-0.1956010063852896,-0.4831925869481206,-0.28649475934387447
-1.1025922277856586,4.329470310342716,-6.901908112905616,-0.20371743114117513,-0.19746993820619763,-0.4809306138963232,-0.2925670251012496
-1.0876393028350915,4.262514864970538,-6.766001355468365,-0.20126967343335989,-0.19955826073962496,-0.47793327958846954,-0.298123105040951
-1.0726175147831525,4.26691600907369,-6.834603931201804,-0.20107824360222232,-0.20018811548170168,-0.4760976283296695,-0.3032974340556511
-1.0575606570012102,4.211491703252527,-6.729311945428083,-0.19920603113670649,-0.2021349871929098,-0.4731464054910225,-0.3084698500245935
-1.0425176989979017,4.164159844834591,-6.648719394399252,-0.19814836802580624,-0.20449073730387313,-0.4705541571353292,-0.3138320933137942
-1.0274421037413612,4.1439440109159555,-6.6598421053142065,-0.1970851355060866,-0.2057961184815224,-0.46780244555588096,-0.32033358085478536
-1.0124220048857702,4.083847614559835,-6.556539059433365,-0.19531347987874828,-0.20837672868490056,-0.46432354645014856,-0.32698056802551606
-0.9973032618584602,4.0229939299209505,-6.455675598525409,-0.19310636884564353,-0.210708740281579,-0.4600933509879474,-0.333781548289757
-0.9822885756241364,3.9921418581254806,-6.413979362241738,-0.191652555959929,-0.21177273081275655,-0.45732257668380727,-0.3379642383473568
-0.9671451270451841,3.9331266856142593,-6.310245291277747,-0.19019031688362426,-0.21461566571363705,-0.4542585733663303,-0.34440649341405044
-0.9519735785201909,3.906391887180623,-6.287203612616047,-0.18909247469794138,-0.21594956728134446,-0.45147042555804917,-0.34928368457948694
-0.9367379822536588,3.8495355118958776,-6.184680055465939,-0.1870360071277435,-0.21792077031722645,-0.4472870793238317,-0.3545544836974669
-0.9214522077519438,3.8271986169585577,-6.185966230597745,-0.1859416630201067,-0.21927202247358102,-0.4442282800135544,-0.36055230887650086
-0.906257477420418,3.77608994116145,-6.115073940531546,-0.18387858507621266,-0.22118622401864002,-0.4390441935506593,-0.36686990213782483
-0.8911283050400158,3.727451314572336,-6.047089633934617,-0.1818192972130193,-0.22304381105883525,-0.43488722300566424,-0.3732813951708982
-0.8760285266395084,3.669478965863956,-5.9355465932183415,-0.17935659268402218,-0.22463040553492308,-0.43076897248848406,-0.3778770016604198
-0.8610089261343109,3.65247253866251,-5.957644301486715,-0.1790173927760516,-0.22657516649875306,-0.42752678313308956,-0.3843586365362913
-0.8461492060992815,3.5743090193575098,-5.794072233236328,-0.1763642207563605,-0.22914283819633563,-0.4227952454595396,-0.3894962152940194
-0.8314293250533381,3.536696764241856,-5.742305101471497,-0.1749772227956048,-0.23084869934790045,-0.41937778720702185,-0.39441854873159915
-0.8167179286856955,3.498632470357583,-5.689289237517759,-0.17360573625938003,-0.23258148267692363,-0.41595570735978077,-0.39935647361110704
-0.8021804920122565,3.4387793719286734,-5.58482408327454,-0.17123221996826538,-0.23464373811937095,-0.4115262064386035,-0.4052484082775927
-0.7876771364827785,3.4022503697657926,-5.548835098981454,-0.16920662816119794,-0.23570420344329318,-0.4060020595040064,-0.41016152640790104
-0.7733015939919248,3.340782821427765,-5.429430974822956,-0.16716598065576868,-0.23806505391969024,-0.40212972248780926,-0.4151992124382223
-0.7591146135254738,3.2820949705917926,-5.326200856457935,-0.16482970739347108,-0.2400517316416524,-0.39729752063141094,-0.4204859813454695
-0.7449374506166633,3.233274250105888,-5.242841280327821,-0.16281288489466836,-0.24168214698523677,-0.39308209584937237,-0.42504070360566715
-0.730821415066331,3.186340700340648,-5.169603845181689,-0.1608045178254851,-0.2432872178096241,-0.38850123033048195,-0.4298660242633999
-0.7169581726818719,3.13763477178727,-5.0843185344934225,-0.15853514284229478,-0.2445095567180248,-0.38401542510911224,-0.43388505202339334
-0.7032080919040535,3.080158425075023,-4.9778002132596315,-0.15653553427967618,-0.24671631949394407,-0.3794674342594191,-0.43848232295274253
-0.6893832492356352,3.0347502138051516,-4.912763711036205,-0.15423197033335762,-0.24791788141597187,-0.3744684220912532,-0.44341464453270224
-0.6757502746747326,2.9705847234800897,-4.796008071402813,-0.15216048887372507,-0.2507187547795839,-0.36942659537033223,-0.448859734038768
-0.6623044209528117,2.938666796647786,-4.764725680647115,-0.15029002288352936,-0.25154967041121196,-0.3648228419214046,-0.4532640466770507
-0.6488312763166809,2.8701643230301896,-4.627979742367188,-0.14733954558349674,-0.25322170421132906,-0.359537419736292,-0.4575272963807346
-0.635532212443633,2.8261881818799317,-4.555463628026265,-0.14566237982365307,-0.255000842193674,-0.35554577051051445,-0.4618016990324759
-0.6223724287861403,2.7811377639677626,-4.477321928996728,-0.14349851592028234,-0.2560179350250749,-0.35105723052616,-0.4652359137352197
-0.6092095202433814,2.7277635656147354,-4.384584657699037,-0.1412139074894714,-0.2576622785202953,-0.3460424487592645,-0.4695869355294204
-0.596249636032952,2.6768193274978187,-4.30331298645099,-0.13895626016170565,-0.25929021333559443,-0.34065546502686633,-0.4741442584669007
-0.5834039711165939,2.6375345570397952,-4.247667304897,-0.13734065794308734,-0.2609879188731933,-0.3362731040980016,-0.47843299095574865
-0.5705578718729853,2.5851800944446763,-4.16002186435471,-0.13459671518528452,-0.261814605715279,-0.3303397024839163,-0.4820544960907543
-0.5579161578818395,2.532602784652491,-4.062917684383455,-0.13233986412314,-0.2633289419950258,-0.3256828867227318,-0.48578127994695497
-0.5453169471621598,2.480544552191911,-3.9665269336907203,-0.13034895041512787,-0.26522185534341886,-0.321051576245004,-0.4894097114795686
-0.5327932428962495,2.443724332171144,-3.9205432361614494,-0.12851820121636062,-0.26646563629847864,-0.3162832814246417,-0.4936445948175088
-0.5204591354296746,2.3723848059592316,-3.7788460330809692,-0.12532921246921636,-0.2680261896509057,-0.3102894876973135,-0.4975539565948323
