Gamma,Theta0,Theta1,X_mid,Z_mid,X_end,Z_end
-1.5669162626986992,6.22814515642767,-10.516356503720909,-0.31244261832665005,-0.14140083259587022,-0.6777183891794033,-0.1259388446438388
-1.5669146748102372,6.226194040169216,-10.517626889407039,-0.31219327609315345,-0.1415144479191765,-0.6769601029441694,-0.12681254745562637
-1.5669134831177811,6.223759477014438,-10.511928938018858,-0.3118849368088424,-0.14156975547273853,-0.6774608966012522,-0.12703090707454257
-1.5668934107967862,6.226077593593686,-10.513495014705663,-0.31174413435174864,-0.1414155065544467,-0.6767147933322611,-0.126316149232437
-1.5568975323085208,6.191817865907963,-10.465733799913778,-0.31088746277932106,-0.14365028940591487,-0.6760448730673555,-0.13306354681595017
-1.5391785983683963,6.167582044308398,-10.476264499579258,-0.31037018759810714,-0.1455591116453609,-0.6755256443111364,-0.1434949181709497
-1.5248150840684738,6.150276808219324,-10.447246124061317,-0.31090499739723476,-0.1468512330240567,-0.6763354958591701,-0.1463548212925564
-1.5083337666353858,6.122776615333094,-10.362306635390203,-0.3102051997182937,-0.1483046422424987,-0.6759711324065729,-0.1458152713646486
-1.4922844891696538,6.114225234839537,-10.350556816382461,-0.3099971318440621,-0.14887752967789036,-0.67542079549412,-0.14749451910856887
-1.4766353837792388,6.084895846199168,-10.314178739181227,-0.31036362859845923,-0.15104462062780938,-0.6760426611282829,-0.15394412668437113
-1.460756823522776,6.033030394531216,-10.24111425338891,-0.30850796156932264,-0.15424174549028974,-0.6747303264027429,-0.16407226125798627
-1.445135103167039,5.98787228574422,-10.198304075426366,-0.30785106388830996,-0.15739015666219572,-0.6743766156950676,-0.17565294913626653
-1.4294464152212436,5.941082617214489,-10.134497491329647,-0.30761644299314056,-0.16064193642774113,-0.6737459691575108,-0.1851438690208887
-1.4136729249331386,5.8818574809164605,-10.028494427503276,-0.3058641132076024,-0.1642595560342655,-0.6717100486759753,-0.19372425780517283
-1.3979734834892221,5.85503623977256,-10.000057566946325,-0.3054506740006517,-0.16614008361793384,-0.6711664679867996,-0.20019632196991746
-1.382245443720475,5.841882343167001,-10.00307235023346,-0.3043951898917027,-0.16697184946873705,-0.6696995378538527,-0.20537470787929898
-1.366514670941937,5.813460581678924,-9.963328920460947,-0.30281725355096917,-0.1686518320718013,-0.6672804471792433,-0.21065235813228542
-1.350921845932245,5.770054459980662,-9.890051698398526,-0.3024417089905577,-0.17152019131706733,-0.6666502207538925,-0.21765870062698783
-1.3351637491204125,5.690508368498313,-9.746498056755494,-0.3014471304976333,-0.17663659884331787,-0.6654232731878363,-0.22932321258623717
-1.3195572687251507,5.621779519258876,-9.638911473020144,-0.30015757219386646,-0.18130095542947128,-0.6621808735247826,-0.24104526689628056
-1.3039909435923622,5.587081380435202,-9.622847464843002,-0.2989159006965136,-0.18377646101256376,-0.6591919231608885,-0.2516565566589535
-1.288258904526751,5.540181040183757,-9.561573740029003,-0.2980739665439966,-0.1867949984983157,-0.65788651694924,-0.2615694711545219
-1.2727677305742626,5.475145027965169,-9.432221859711927,-0.2968549854951102,-0.19086291663244384,-0.6558295504068684,-0.26934141845929715
-1.2573231797262243,5.452531118533114,-9.415743836583147,-0.29537736585390045,-0.19232598909924092,-0.6527197158662785,-0.27509287017248074
-1.241620871773406,5.410836645640429,-9.338884318631075,-0.29387516191330315,-0.19473581692355496,-0.65049195307411,-0.2806043730037691
-1.2261732754259096,5.360648890507197,-9.25039372694571,-0.29228434543492937,-0.19757854341221287,-0.6489653316473356,-0.28816728206538433
-1.2108983338287582,5.311444380317649,-9.182503796267671,-0.2909524994846817,-0.2008107687321855,-0.6457903069888166,-0.2975378990679582
-1.1952940905345852,5.21881886638322,-9.009497141188952,-0.28852816582943086,-0.2066101092513734,-0.6405886643086555,-0.3093282613517793
-1.1799223873448064,5.143204334130347,-8.87801123937371,-0.2862743497812373,-0.21128915982816926,-0.6360237823728837,-0.32014284111328306
-1.1647938354396166,5.072296226511246,-8.745395789357502,-0.2843537093175652,-0.21555297053724004,-0.6327469506929401,-0.3294285635170038
-1.1495547399425288,5.025383167729918,-8.694308774272919,-0.28232432002039626,-0.21837306528949874,-0.6286350589955888,-0.3398288816191353
-1.1342461263683492,4.976559326121286,-8.615917314116434,-0.2801828343847734,-0.22113820845410154,-0.6244851974031385,-0.34720424876258754
-1.119199357934273,4.9187551186290595,-8.498125815745203,-0.2788521046465005,-0.2246754542652963,-0.6218460632805302,-0.3534607469918447
-1.1041596816582266,4.878503231206131,-8.42943920480739,-0.27822311820535484,-0.22742750065169953,-0.6197643760487593,-0.3595697376596685
-1.0889815619943077,4.823083872324537,-8.330659568587034,-0.2753975397102112,-0.2300157701444899,-0.6163859982497966,-0.3672182986634783
-1.074062770015754,4.765514273002316,-8.241060587364784,-0.2726437130225763,-0.2331336513033722,-0.6110546898855855,-0.37607427001066196
-1.0591431212626405,4.697299463212064,-8.125953894232394,-0.2696753410717185,-0.23684802903889893,-0.6053301595482877,-0.38556758116499007
-1.0442940236783673,4.6293607447496194,-8.015482747448655,-0.26696696759109684,-0.24061845549176275,-0.6000583820941615,-0.3958462536564957
-1.0295919491940957,4.557722587954307,-7.893129311049499,-0.26458222641544504,-0.24477350447874657,-0.5951320212611104,-0.40620533621855803
-1.014744400916719,4.480601889124376,-7.751004749720637,-0.2616620718709854,-0.24896793336005635,-0.5897446649742522,-0.415812313421481
-1.0000839312122323,4.435338824924325,-7.673504199275607,-0.259334044831794,-0.2511885536961101,-0.585334848035696,-0.4215733018451695
-0.9856242466406124,4.409685350064199,-7.64685775140528,-0.25804789758580665,-0.25261161291844003,-0.5821955576368814,-0.42700933358404297
-0.9709579317657656,4.352419237358587,-7.533541754250518,-0.2559744111841009,-0.2556627158240344,-0.5785662699784211,-0.4332271660303989
-0.9564975193524126,4.280894935810229,-7.3919788975799925,-0.25178115308402027,-0.25847723095816577,-0.572211658373715,-0.43982155283600166
-0.9421595672489377,4.196773711441731,-7.222455524628772,-0.24843375782151778,-0.26272188371039673,-0.5662927634224216,-0.4480921188194711
-0.927847919083024,4.1489659268972305,-7.161268296149348,-0.24656164058960847,-0.26562169146992753,-0.5610158676249803,-0.45684466281911035
-0.9135682261745972,4.089574418084657,-7.078964650270179,-0.2428322340849286,-0.2680469670819573,-0.5537750982603976,-0.4663116597034271
-0.8995032455760056,4.0059151519483525,-6.916004756657481,-0.23942628725921525,-0.2723285969075445,-0.5468050819794424,-0.4746137013862712
-0.885173739967938,3.9694588018551253,-6.881125274059376,-0.23721926081469483,-0.2742000498251041,-0.540744924604208,-0.48161899054608337
-0.8712196396678465,3.8889501943827813,-6.706261374280399,-0.2332478521108901,-0.27719859221818693,-0.5358321634799716,-0.4881631856821549
-0.8572231141797462,3.7957234196184464,-6.485240312342715,-0.22933848254124295,-0.28099108034496834,-0.5313150888060874,-0.4936926628617874
-0.8433763744934161,3.757959916821699,-6.435789209618122,-0.22744838050499785,-0.2830094729688523,-0.5260030739272226,-0.4995631549258071
-0.8295428013855671,3.6936568933774234,-6.323994495723318,-0.2234857030321624,-0.2851215240940447,-0.5191302865668734,-0.5068925650390905
-0.8157575919209424,3.6373996426723316,-6.223083263360612,-0.22145604414217052,-0.28832682412857913,-0.5138582031867447,-0.5133756154108284
-0.8021132717055257,3.601346055416708,-6.180275437511552,-0.22004572576706682,-0.29073022184478864,-0.508603231717631,-0.5195179037952994
-0.7885014976247486,3.508556755212051,-5.992745938544575,-0.2160809124368761,-0.2949597071950547,-0.5016638916562761,-0.528318772289516
-0.7751063651255675,3.4287219856270172,-5.839413978503145,-0.2124217008961966,-0.29863240872233343,-0.49388426142729547,-0.5355943555455506
-0.7616072450320523,3.381587059819016,-5.7732941740958825,-0.20932787346982323,-0.30018432102916986,-0.48750448019934545,-0.5424185343912148
-0.7482118848110609,3.317316655168737,-5.646400429331345,-0.20568142018633354,-0.3022019047326266,-0.4813575737622542,-0.5477928732200805
-0.7348693295778562,3.274493385126689,-5.5791013078253915,-0.20294594231437157,-0.30348868338364615,-0.47569023464803695,-0.5527917939159934
-0.721490416228092,3.253820093562757,-5.573373564640927,-0.20182919451377246,-0.30499553929866924,-0.4710498589333775,-0.5580794446433891
-0.7084211249294723,3.2111348436252647,-5.505125545301981,-0.19982682235775445,-0.3072112518026844,-0.46549337627097015,-0.5629580751005604
-0.6952440350193361,3.1614602196303325,-5.426716820825014,-0.1974855790001726,-0.3097517001923488,-0.45930395767565113,-0.569122374587912
-0.6822089096741316,3.072765650166895,-5.233587955668035,-0.19336145505522093,-0.31313725116002067,-0.4528186821801362,-0.5753485995905765
-0.6691602328614068,3.0096326110113987,-5.133618081559353,-0.18952435311058072,-0.3153113673863605,-0.4440977689302255,-0.5822115898097905
-0.6563647182152591,2.9472627780660976,-5.036319241307936,-0.18563773438670816,-0.31730847899724746,-0.43487778626277834,-0.5885060406430053
-0.6433553605312377,2.892188348524009,-4.937974731615255,-0.1825931642936457,-0.31923318844579013,-0.4288442440174339,-0.5941831016345518
-0.6306790912831108,2.851517592947401,-4.864157740661644,-0.1813079369841983,-0.32202771779241457,-0.42522250126535976,-0.5991796434746715
-0.6178802535047656,2.7994660612249396,-4.7651503549643195,-0.1780157237514257,-0.3230989321143786,-0.41908549173100956,-0.6028219229129156
-0.6052144718755035,2.7447186911510677,-4.656557718918169,-0.17448556268868048,-0.3240509282713951,-0.4130944222544729,-0.6063647199082428
-0.5926974413733231,2.6603252222187836,-4.468781015906041,-0.17016816300583415,-0.3265532290575877,-0.4059229165501656,-0.6102882557628457
-0.5800749544416677,2.633659689006337,-4.459629150442684,-0.16878624286753746,-0.32878151601919137,-0.3988893224791799,-0.615516044036717
-0.567593825454549,2.5693782506445237,-4.337377264505095,-0.1657793944508072,-0.33166005502186163,-0.39272767735046926,-0.6218152448120169
-0.5551518433294937,2.4807512535461256,-4.14667587838218,-0.16137724767692474,-0.3346531412084531,-0.3853425137714959,-0.6274603607368232
-0.542905879648216,2.4496500800937477,-4.121931551551314,-0.15932680475551866,-0.33637015219599536,-0.37812555031627354,-0.6319855123966119
-0.5305896992265314,2.39333197502619,-4.029486980186872,-0.1557834493108107,-0.33781781386288645,-0.36995665976998426,-0.6368465498066136
-0.5182233939902476,2.3361791331031605,-3.923915470724303,-0.15236442275848516,-0.33932873733956803,-0.36306110467897906,-0.6412150800448226
-0.5059984154371421,2.2888173991929643,-3.8235157677377765,-0.14995104825611366,-0.34092591278178125,-0.35897354795507236,-0.6443826609921764
-0.4937971721012736,2.2178600126313563,-3.663633871226038,-0.14619881078457533,-0.3426897330513564,-0.35368266960019973,-0.6482842031960901
-0.48173167033547054,2.1808127153007324,-3.6134861744530116,-0.14342689995373117,-0.34320798610754855,-0.346860855086419,-0.6516889681349387
-0.46970343818744054,2.1339449791006104,-3.5478539136160645,-0.14004041845758525,-0.34392812117308696,-0.33812097824969833,-0.6552581513284824
-0.4575745746885648,2.0514333545190873,-3.374989817136971,-0.135907464292997,-0.34693615154472857,-0.33035383028936155,-0.6602287217943245
-0.44563648326447863,2.002576425901515,-3.304617517184988,-0.1329218210824424,-0.34877852192942793,-0.32219625057073437,-0.665002815262447
-0.4337765037674693,1.9754216482893763,-3.287255528878677,-0.1308954865771525,-0.3499087516702548,-0.3154525260022221,-0.6692264440040114
-0.42178659218727393,1.899553666266626,-3.1332326376769872,-0.12638257202614006,-0.35134020990299486,-0.3071468358717994,-0.6730488218707894
-0.4099216225026257,1.829926243380429,-2.9899385398748772,-0.12265759099615253,-0.35354466310019694,-0.29995220062938605,-0.6768281316965247
-0.3982004060852949,1.7844566174083134,-2.901323852727455,-0.12003384801759068,-0.35484287029114253,-0.2951656029167879,-0.6804717608582839
-0.38641635472442043,1.720803681949653,-2.7517170934702335,-0.11655730254730774,-0.3558568035840024,-0.29001529884532556,-0.681665499998241
-0.37465546716200016,1.6878758587205667,-2.7153288949442227,-0.11406846956886564,-0.35628326461362547,-0.2826390665858065,-0.6843059916576149
-0.3630883057369033,1.6463500041844248,-2.6546378212763813,-0.11158774571862845,-0.35816444247330337,-0.2756021019550129,-0.6879187781478884
-0.35143288942969625,1.5944785335284188,-2.5581168135036925,-0.1084395902648923,-0.359446608320963,-0.2691268189074516,-0.6913553493720663
-0.3396588411974306,1.482237698541619,-2.3056660973271486,-0.10173701170883519,-0.3600481284515084,-0.2589336660783069,-0.6942598594109309
-0.32797884497485513,1.428670628812247,-2.225714754524029,-0.09829666465479585,-0.36175725968774297,-0.25014029992236975,-0.6991593008530981
-0.3164932655064029,1.3744066034425315,-2.1328433083022165,-0.09475078979426743,-0.36271832152771183,-0.24213200795426404,-0.7025039980472982
-0.304979404089442,1.3382067023552753,-2.078896158430747,-0.09274051941390163,-0.3650175853695573,-0.23593817515838122,-0.7052546298827279
-0.2934700568000291,1.3346547480901962,-2.119475483040723,-0.0918304247253955,-0.36566770114156977,-0.23034658505846775,-0.7084364016926459
-0.2819381307133514,1.265949989431597,-1.9696220068486567,-0.08781039932147425,-0.3662453600550713,-0.22301454266277027,-0.7088944849764591
-0.2704431803999558,1.1870168259629676,-1.774392588977213,-0.0838256665772424,-0.3684742948427525,-0.21843637954210318,-0.7113338265331627
-0.2589152958616655,1.1216625170823968,-1.6527938923757235,-0.07963417165649089,-0.3690805754611905,-0.20941852210454337,-0.7136599260302088
-0.24739472871011672,1.0392987223351742,-1.481441548817362,-0.0746759472548297,-0.36992046864631534,-0.2003739509587155,-0.7163901293670933
-0.23603952373473028,0.9953864827627762,-1.4104539938066178,-0.07169553164415826,-0.37045264321863325,-0.19311375517846618,-0.7185129880417179
-0.22456180672134987,0.9462142673348639,-1.3319990206213965,-0.068213149240397,-0.3706841845395274,-0.18500164752162526,-0.7213139922248882
-0.21315981491791566,0.9178023288185765,-1.3039096359574531,-0.06599922934869921,-0.3711334666816041,-0.1781821263092967,-0.7233101375845357
-0.20181353927861378,0.8491266880763919,-1.1579652993450713,-0.06203899136650151,-0.3726139852940795,-0.1709222978925986,-0.7250679375645365
-0.19040376955430907,0.852858750833026,-1.2250519898897696,-0.0614331675961447,-0.37333015718273466,-0.16425958871562724,-0.7271050797780894
-0.17900763908923342,0.8250499386227964,-1.1801137033320441,-0.059501807863254486,-0.37378295085611224,-0.15970090603157835,-0.7284749267155085
-0.16758057270759638,0.7149402115792131,-0.9246016747920827,-0.05314298228422424,-0.3741302584498784,-0.15049758104196978,-0.7301355481046512
-0.15620504158175277,0.6576603820453901,-0.8136843960980306,-0.04946041714391028,-0.37465022006079696,-0.14325126252868092,-0.7323801193070604
-0.1447664865848574,0.6166898590102379,-0.7516207038455958,-0.04658053311308032,-0.3750060391915738,-0.13584372865715455,-0.7339993362315177
-0.13335890385240742,0.5307466676931399,-0.5604180823533869,-0.041566561773704463,-0.37540417403399423,-0.1274958239609301,-0.7347713487081031
-0.1219516048541127,0.5003076769146075,-0.5396535601093427,-0.03921009197840519,-0.3764460297843106,-0.11875309502488574,-0.7360265447277219
-0.11050101747728973,0.45248717945094535,-0.4802517421808373,-0.03562746463085195,-0.37785090669253624,-0.10857194442774933,-0.7380998869752468
-0.09898332525599086,0.38121285316240255,-0.31920714624030067,-0.031380804455573244,-0.3781746155026555,-0.10216440093777504,-0.7395419250558286
-0.0875421321615905,0.3345493992012093,-0.2280906802926698,-0.028398545175703744,-0.378853431567915,-0.09620549963214192,-0.7407384818203742
-0.07601745713959426,0.2840362721332132,-0.1343751825048773,-0.025152815380644608,-0.37805054132099536,-0.08889618378685732,-0.7409596461317406
-0.06446554902641187,0.22308778860724582,-0.011747546951844372,-0.021409516377725698,-0.37840985568572705,-0.08133415100225885,-0.7410979241171273
-0.05288116771705492,0.16287401476149743,0.11271074465533956,-0.017490310272593085,-0.37834164190559705,-0.07461857467862455,-0.7432600360353063
-0.04118594131672305,0.1226879080766916,0.16760748711130818,-0.0144977160316971,-0.377861549600406,-0.0665147505007844,-0.7443622484901644
-0.02958735852878853,0.08655909347619316,0.20889673015860882,-0.011650585959011623,-0.37802163152762835,-0.05828468821682373,-0.7457391410513478
-0.017958043154479863,0.036276337308372056,0.3030414730973279,-0.008369597253669713,-0.3787750157157082,-0.051264152752675755,-0.7464544235590361
-0.006244806698684928,-0.05378768486905393,0.4984632708898342,-0.0029296830625887855,-0.3787912015442317,-0.041949556428457234,-0.7469926602902422
0.005441867837325717,-0.13792035398672536,0.6811339570242718,0.002133292403692501,-0.37786029587549264,-0.03321635261573877,-0.7470297414179389
0.017211406475792404,-0.19481886283727434,0.7918203730677408,0.005821046943608385,-0.3787425073043162,-0.02576455256293094,-0.747490785593764
0.028981033364661353,-0.23918832419424998,0.8561105253339543,0.009083710085823643,-0.3795103648183112,-0.0172265969585147,-0.7481374472094773
0.040813959372424116,-0.2922641391521345,0.9573656285361384,0.012479562041881597,-0.3790455516993527,-0.00997267971832115,-0.7480100061229155
0.05274014847165054,-0.327908068471951,1.009971920053726,0.01498078886788188,-0.3792492317929902,-0.003166614906840351,-0.7477440134169582
0.06462370928934404,-0.36314539290483105,1.0451418142539708,0.017879145183173448,-0.3791216398332912,0.005573126922877675,-0.7484953732558508
0.07655940905931574,-0.4210142002263891,1.1489197365803374,0.021571409511638235,-0.37778771413788176,0.01431752233560172,-0.7478274992183033
0.08859791304126777,-0.49382015251881284,1.2982332402678654,0.026320986270017364,-0.37814390862610303,0.022879619716623577,-0.748446065848487
0.10058880214237742,-0.5688519737051094,1.4516433993287279,0.031050868276900585,-0.3777010347524394,0.03180672072124153,-0.7481622403230815
0.11279444749550062,-0.6155819377440336,1.5237894747310479,0.03416337622895985,-0.3773235438268493,0.0403154737078238,-0.74681147535002
0.12491414859024555,-0.6712524232220558,1.6364789042218024,0.038077400075880855,-0.37772942970375284,0.047047096586275906,-0.7476327852730361
0.13718416816483167,-0.7249513607782677,1.7291016742497365,0.041384514616494075,-0.3763020997225951,0.055568661680757456,-0.7463391026170728
0.14941656272089832,-0.7799490119121343,1.8345651360623987,0.04532904792868672,-0.37708296296403643,0.06297439613134766,-0.7464900873068383
0.16181197746135675,-0.8451727599689253,1.9669719206785916,0.04965003597824478,-0.3774376832025199,0.0708326082822816,-0.745958200339946
0.17434329101915866,-0.909453904519994,2.0892966135186755,0.05362722303019444,-0.37564250637073093,0.07957480755936137,-0.7448903394971326
0.1868003585030673,-0.9449316561713097,2.135544407310313,0.05638701296977486,-0.3760557846334499,0.0870526104363619,-0.7441355524273078
0.19941461352764311,-1.0193567731071629,2.272383254287664,0.06139063651492106,-0.3756411787912369,0.0977529626857232,-0.7428038100335509
0.21205468860710333,-1.0792865020796294,2.380242649407712,0.06501492385786814,-0.37349066952946086,0.10661013649435139,-0.7411842822060334
0.22482840934994577,-1.09451258748872,2.3529476226995945,0.06700692645063912,-0.37343568071315253,0.11571481288525738,-0.7406631946153506
0.23765745806988317,-1.1638090698519605,2.4971439585102084,0.07183191302681126,-0.37387593104658834,0.12364076254314765,-0.7402766976374108
0.2505413259735455,-1.2257031195713264,2.622071883854914,0.07537327908594016,-0.37188257358119337,0.13104204500729538,-0.7383861373431255
0.26350418787269697,-1.2622578489310676,2.6655639904440935,0.07867233611576833,-0.3726325799927996,0.13933173710390767,-0.7380286787132523
0.27658203141076704,-1.2649694102219384,2.6346674819225324,0.07936733521970805,-0.3724869385234756,0.1441995416066721,-0.7373748882469524
0.2897905941607591,-1.3062361990680247,2.6903720243426985,0.08176174711087779,-0.3701947565225347,0.15243922401610085,-0.7348381256948255
0.3029760777825311,-1.4047123449111143,2.894753261926224,0.08781984552291758,-0.36915516954575756,0.16338980488994753,-0.731488310187859
0.3164679072891208,-1.5024875056143483,3.1091836102174186,0.09367077399379324,-0.36691111793829234,0.17300231210537922,-0.7296219481072053
0.3298836245079165,-1.617177285422915,3.357701018036517,0.10060403181051787,-0.3647719018246503,0.18449956827414643,-0.7265696392502752
