ts,X_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end
1692015680558678150,-0.41621897202158553,0.6093665709590947,-0.0012386168115133588,-0.4093107212906396,0.6157289384297459,-0.40040637800610523,0.3130217278437595,-0.42950836394857295,0.01484204208091644,482,249,472,623,407,1025
1692015699266494513,-0.3703537412483555,0.645243983740027,-0.00044769627309985526,-0.3631556743015736,0.6520168835245859,-0.3516053024239709,0.34922553799866574,-0.3813311386599307,0.053227435435035275,542,207,538,577,476,971
1692015716805144787,-0.27033061201390896,0.6452434615271161,-3.65177468209988e-05,-0.2615877983609888,0.6500908650859547,-0.2510474654760291,0.3482514323649265,-0.28327948136281245,0.0500955639186359,668,211,668,579,609,975
1692015732840302706,-0.17031359403233282,0.6452471903445407,0.000214012542342847,-0.16278101257973987,0.6489643912330507,-0.153100956227241,0.3488329223791008,-0.18492714058904042,0.053444541491563524,790,214,794,579,742,970
1692015749376632214,-0.07030964208613308,0.6452844226459702,0.000503718973124849,-0.06266347498494432,0.6478440785079971,-0.05458900329685164,0.3478339130252115,-0.08437905263551639,0.05391256538209632,913,217,920,581,877,969
1692015766748227358,0.029647444751449745,0.6452674999638048,0.0008491448974973822,0.037137350374440325,0.645846006977255,0.04364935011542157,0.3468250797592892,0.012265078632087463,0.053667982495430144,1035,221,1045,583,1006,969
1692015785456017733,0.12963935014050595,0.6451372861675619,0.001270083966935998,0.13416525695242787,0.6463779363698884,0.14002091869441263,0.34579722288721904,0.11022565496638068,0.05487779121256342,1153,222,1167,585,1136,967
1692015802159254313,0.22967713936714496,0.6450573569400815,0.001643798186371186,0.23336729964048908,0.646936441963948,0.23688087914818584,0.34476415704167085,0.20565351101865242,0.05317856321646741,1273,223,1289,587,1262,969
1692015825209946394,0.32965553947569715,0.6450271854151632,0.001877688176144644,0.33469902363216264,0.6457874787593978,0.33510680129150294,0.3453295335121255,0.302389972477489,0.05293374666445172,1395,226,1412,587,1389,969
1692015839574990988,0.40424000623341605,0.6264069790013549,0.0015523717213840025,0.407976291804834,0.6269144262729762,0.40786126365690406,0.326570469204976,0.3734701195479019,0.036638796361937453,1484,249,1504,611,1483,991
1692015857113606215,0.43053627973650627,0.587309444486179,-0.0001722493292092953,0.433228124219637,0.5868521708872938,0.47607147971673625,0.2887962879306154,0.4054214631378643,0.019759608133943174,1517,296,1592,659,1526,1014
1692016388865300179,-0.4049263638713485,0.6256543722133898,-0.0011998935824324964,-0.39896068589525224,0.631094478090903,-0.3875560376900102,0.3302219707037788,-0.41446950882400013,0.03114272544355412,496,231,490,601,429,1002
1692016402729129791,-0.3759118244661208,0.662344063648648,-0.00033427575639373544,-0.36804587195695226,0.6698986888200484,-0.35859113206319504,0.3657184941391717,-0.38654163973023603,0.06763224113930288,537,186,530,556,470,951
1692016417261095762,-0.33405856599448636,0.7047084206694334,-0.0003923129968657826,-0.32791749115329205,0.7110524694528958,-0.3156024910142837,0.40891839747737413,-0.34525546664650547,0.1111343501292551,589,139,588,502,529,891
1692016434799661636,-0.27046369946531434,0.7453124090381409,-0.00012588275920018052,-0.2642459741468832,0.7496423809739311,-0.2522587707687517,0.4504897104916926,-0.28156036098543535,0.15382257192555082,669,96,671,451,617,833
1692016453340608120,-0.17037814519955782,0.745349668488857,0.00017045366435701113,-0.16249588069009563,0.7487816329643564,-0.15129445825813007,0.4489492105122834,-0.18087642891080413,0.15460080343325078,793,99,799,454,751,832
1692016470544868231,-0.0703704456226097,0.7453372463893752,0.00047824608502138424,-0.06354165470098774,0.7496219357584624,-0.05538533181554689,0.4489796715313181,-0.08489032890564102,0.15538169982490702,913,100,920,455,878,831
1692016486580203772,0.02970641408203263,0.7453110838011525,0.0007428054294109877,0.03760739085005704,0.7487277865789684,0.045012253625505046,0.4465975749719295,0.013932291045568828,0.1539237304526231,1035,103,1046,459,1008,833
1692016504118762255,0.1297709073518145,0.7452437030284806,0.0010253009801792373,0.1351091860791856,0.7486429712826085,0.14033816432746937,0.4474258863705046,0.11023322250101938,0.15395669797420042,1152,105,1165,459,1134,833
1692016522325471878,0.22979595643117076,0.7451866326934058,0.0012944482246210862,0.2372562467869092,0.7468537030577749,0.2385275464535819,0.4458196252825792,0.20931288075263058,0.1517351958568186,1274,109,1287,462,1263,836
1692016540031090021,0.31220390240266466,0.7230224317120926,0.001006206336906206,0.31722382254476683,0.7269364297647193,0.3200883027715035,0.4235933378023894,0.29034395665774304,0.13147671984507614,1370,133,1389,490,1369,863
1692016557402630568,0.36070201324320894,0.6786253352122367,0.0011179273336947271,0.3638052058627406,0.6792964021733173,0.3680176580735837,0.37847741735292956,0.3360869898469097,0.08600833059443524,1428,188,1451,546,1431,924
1692016571099356174,0.3943831932569216,0.6395248559554002,0.001523116859051799,0.39868639256726923,0.6406280208279869,0.40215004032449453,0.3393126971178695,0.3702665068455867,0.04835998899637861,1472,233,1496,595,1478,975
1692016586967564344,0.41814598995239133,0.606984407682085,0.00014889856008775936,0.42200109254071116,0.6090044724311616,0.42840289808999216,0.3075886296720335,0.39294377618220844,0.015439234855234463,1502,270,1531,635,1510,1020
1692016699548400640,-0.39699911385043246,0.6362751537883513,-0.0011703822870137736,-0.3906996776064146,0.6413974682926072,-0.3780710891378709,0.33965809179923234,-0.4092616935014527,0.0418370499770484,507,219,503,589,437,987
1692016711407862186,-0.3719345871851486,0.6667452735096351,-0.0004774441981643223,-0.36418858608777266,0.6733873477715254,-0.3526424085655382,0.3704959155412544,-0.3839198329258268,0.07340052006219688,542,182,538,550,474,943
1692016722766024351,-0.3381355638686721,0.7009908672947345,-0.0004476798902677521,-0.3309704996204934,0.706668975473837,-0.3201340794672132,0.4056870192585681,-0.3518211548332993,0.10894795962292703,585,144,582,506,520,894
1692016736629875183,-0.2929043355811828,0.7379211827639538,-0.00025416052165830105,-0.28696143173784916,0.7448633025429927,-0.27545935805741767,0.4405817678221787,-0.3051662051204592,0.1456727783033237,641,101,641,463,585,844
1692016751662940741,-0.233343528708923,0.7749382621027243,7.851875775422221e-05,-0.2275127510943915,0.7811534146512682,-0.2152760950249501,0.47767840182953925,-0.24738607543403965,0.1844000615700334,715,61,719,418,664,792
1692016768199279785,-0.15773682326998442,0.8071942791863225,0.00023740932224407594,-0.15229615238413746,0.8146169556712116,-0.14140015473854414,0.5096325475071503,-0.17112557117685304,0.21842524103155236,807,25,813,380,766,747
