ts,X_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end
1692019081254961729,-0.4297771412863367,0.5031926789981189,1.936856027044694,-0.4320593076218643,0.5008417264284648,-0.6003853427963547,0.30277711464111834,-0.6499528140686469,0.013542409640802111,445,387,208,635,102,1028
1692019142222269297,-0.34987461502498723,0.5324185602329936,1.7073827439960199,-0.3485851526951631,0.5305010462545922,-0.5060691592933324,0.3078556682066569,-0.5602980331085596,0.01815158586582999,553,352,333,629,227,1021
1692019189158849239,-0.2743862591345861,0.5607645977194471,1.4638194251199137,-0.2718954984608448,0.5571088883505378,-0.4049949030400108,0.3129990349667109,-0.4553960003671425,0.02132088683423572,651,321,466,623,372,1016
1692019229747912407,-0.20101772499144632,0.5851321542270513,1.2277518696695295,-0.19825102393409774,0.5806091688582921,-0.3078450853416204,0.31893570315336106,-0.35790785817151666,0.02667943471576406,744,294,593,616,506,1008
1692019268332830906,-0.12701377191747376,0.6039814801991832,1.016226779917921,-0.12137422172840293,0.6018450900018663,-0.2146927127170604,0.32645721295254804,-0.25901873380641655,0.033508295412114086,840,270,714,607,641,998
1692019301739343882,-0.05625566325444048,0.6203273083902217,0.7934641967390331,-0.051018858940888236,0.6172240167685576,-0.12162106722724116,0.33324259783720755,-0.16304738188751108,0.03968152506435374,927,253,834,599,771,989
1692019327462548018,-0.014123257139674952,0.6399312671834716,0.38181452228996887,-0.00790467475758428,0.6400481611125205,-0.038888322082632536,0.344759355668092,-0.07537085947937437,0.050267445440481784,980,227,940,585,889,974
1692019348508756876,-0.010151278370229569,0.6411590721645681,-0.2708429905942353,-0.0030029977607191963,0.6452691745403798,0.038933822855772696,0.3491788653443916,0.02353761917059233,0.053639454425812194,986,221,1039,580,1021,969
1692019368552757740,0.048638706408666924,0.6298762761545019,-0.558281982821176,0.05510579408867382,0.6340755308759447,0.12500285523357113,0.34730069722378487,0.10866975589191472,0.051966957835973715,1057,235,1148,583,1134,971
1692019394610254288,0.10259415067616333,0.6078364970421071,-0.8990561678117927,0.10730917736201992,0.6108291278781679,0.21211874499456607,0.3414360370165467,0.19939090339326326,0.046625513267810725,1121,263,1258,591,1254,978
1692019423840951681,0.1733957695506588,0.5875881648830512,-1.1330292508512765,0.17741116221426778,0.5895902215090401,0.30437013185055983,0.3371730214252757,0.29883394357132004,0.04124017310939698,1207,289,1374,597,1385,985
1692019458082980871,0.24729692984309706,0.5648032073592257,-1.3596273772528842,0.2506099053631345,0.5667364885681612,0.40090773607670427,0.33131832775440617,0.39631408458766526,0.03437735277804721,1297,317,1495,605,1513,994
1692019504685181141,0.3230954621953627,0.5380620489569584,-1.5929405598878394,0.32847330574115907,0.5414576207782771,0.49216416554722736,0.32541268543308055,0.48717659139373753,0.026780704861565696,1393,348,1609,613,1632,1004
1692019550118651628,0.39922852073642534,0.5042653370018744,-1.859878537605953,0.4065505567573966,0.5087060311618492,0.5860302101971647,0.3179002201799974,0.583074275949047,0.02060790156364256,1490,388,1726,623,1757,1012
1692019607911931992,0.4732149618895299,0.4532219873592653,-2.2310157348976842,0.4790937240274066,0.45946298405132735,0.684250564472347,0.3103835899790419,0.6787716456711861,0.016612705409430717,1582,448,1848,633,1881,1017
1692024226432851791,-0.4109244063961444,0.5672673497340346,2.1973438188299546,-0.4147083394812787,0.5695409317420017,-0.5989607041618831,0.3956523186437224,-0.6601466856878189,0.1135896187647294,472,304,220,516,101,888
1692024275540750504,-0.36405804107598155,0.6490881469067348,1.5649240136424494,-0.3629086405570209,0.6469058702935602,-0.5040015449247272,0.40985526979528064,-0.5515024053546793,0.11713750044335636,542,213,345,499,250,883
1692024321140899897,-0.25091211169683286,0.6332455264090242,1.7002559234846963,-0.25204546202817385,0.6306173192943135,-0.40243844802966566,0.4050612959395498,-0.4578652554046998,0.1141510996662114,679,234,476,506,377,887
1692024365070744276,-0.16961674290570383,0.6554379980772818,1.5124848989186284,-0.16851837377274387,0.6514511518077528,-0.304695208296677,0.4090023246598841,-0.35523529295633727,0.11772771623587641,783,211,602,502,516,882
1692024409501727819,-0.08702438473866714,0.6730366183738639,1.35153707841133,-0.08574258135973596,0.6690184483271822,-0.2070960703911116,0.4129630521573861,-0.2534299399075424,0.12280125016095045,885,192,727,498,653,875
1692024446583116293,-0.009924057767371985,0.6921921499268209,1.1549951961441323,-0.0055045115729775995,0.6893013963764293,-0.11049997535189349,0.4209675442578958,-0.15163864453750897,0.1286515733778959,983,170,850,489,789,867
1692024507717467308,0.05960974567876857,0.7121778521012323,0.9131240718157387,0.06391778203004629,0.7104684780597619,-0.017941170306227796,0.42980392558786357,-0.05666985257650137,0.13751823635316074,1067,147,967,479,915,855
1692024537950498581,-0.010666330083578937,0.7412075253707368,-0.2744629860762873,-0.0030777483672901826,0.7462589376262452,0.041035303284854066,0.44982646313302344,0.02537866601847378,0.15692134039480443,986,105,1041,455,1023,829
1692024564341874838,-0.013423019123460236,0.6979300528760263,-1.0250905739498315,-0.009639529383831877,0.7022944176248316,0.10732012199409342,0.43897760879542863,0.09786316729597144,0.14571585113811258,978,155,1124,469,1118,844
1692024601590321541,0.059031738765114125,0.6760301704367262,-1.2562647591835219,0.06367232879740671,0.6799467848217298,0.19872292504056335,0.4348497313481581,0.19127745924605324,0.1397316762686126,1067,182,1238,475,1240,852
1692024640509143114,0.1389637970092246,0.6565296904003097,-1.4382477193118355,0.14266867609117997,0.6603252203954273,0.29364828991483544,0.4290973433421526,0.288120098075686,0.13372495651811311,1163,206,1356,483,1366,860
1692024684940043211,0.2211905533541132,0.6356868065615973,-1.6155889088840072,0.2265817391771354,0.641656576123492,0.3897724490450712,0.42414880617643536,0.3853336041724108,0.12769523351444934,1265,229,1475,490,1492,868
1692024727867719173,0.304022881754729,0.6118141414955731,-1.8055623375080891,0.3085859307900804,0.6178105054763047,0.48621739968659233,0.4183616963301716,0.4844786882011104,0.12164147867834985,1365,258,1594,498,1620,876
