ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1.6933167438318E+018,-0.492416692228382,-0.199754658753797,0.417619628303885,-0.001189524445738,-0.488779294920283,0.423452905984315,-0.495507095498021,0.219906302648213,-0.521503679781862,0.02189324510023,323,481,296,748,238,1023,0,0,0,0,0,0,0,0,0,-0.7,0.05,-0.534588983290069,0.021386518280344
1.69331676020121E+018,-0.489662935941312,-0.199795581177947,0.432362411439468,-0.001114479775676,-0.485939094080699,0.438370867502962,-0.496669373114237,0.237017541988109,-0.525619847895938,0.03875434610201,328,462,296,725,234,999,0,0,0,0,0,0,0,0,0,-0.6,0.05,-0.53181786136759,0.036092197311551
1.69331677540169E+018,-0.457858198153852,-0.199817853322799,0.446255740372172,-0.001043557713134,-0.455416408015321,0.451243955274278,-0.465557660234049,0.25062349037848,-0.49348086252863,0.052886911856875,369,446,339,707,280,979,0,0,0,0,0,0,0,0,0,-0.5,0.05,-0.499999992553694,0.049999997137037
1.69331679010063E+018,-0.357776921083144,-0.199918734621759,0.446254110938422,-0.001519250096036,-0.352806269996531,0.454584086465924,-0.360979184261857,0.251153044060535,-0.392844304771453,0.051542592038363,503,443,479,707,419,981,0,0,0,0,0,0,0,0,0,-0.4,0.05,-0.399999996360612,0.04999999597189
1.69331680312951E+018,-0.257794113422505,-0.199997570021884,0.446373494232437,-0.001085163523263,-0.251736124800726,0.450792951144302,-0.25962550172519,0.25016193730741,-0.293378322231748,0.053032291308793,634,449,614,709,556,979,0,0,0,0,0,0,0,0,0,-0.3,0.05,-0.299999993081076,0.049999993782494
1.69331681682636E+018,-0.157826468047735,-0.199958986090774,0.44630058231225,-0.000841149269299,-0.151999855625502,0.451729817603532,-0.160164874765741,0.250662321220752,-0.191203023836372,0.053106524193885,763,449,746,709,696,979,0,0,0,0,0,0,0,0,0,-0.2,0.05,-0.199999992136352,0.049999993281105
1.69331683068998E+018,-0.057929967660337,-0.199937183004174,0.446279536178701,-0.000364701403476,-0.053360104352131,0.45027277277877,-0.061012834570668,0.249650905638426,-0.09225532816307,0.053892000371163,890,452,877,711,831,978,0,0,0,0,0,0,0,0,0,-0.1,0.05,-0.09999999415264,0.049999992960408
1.69331684355192E+018,0.041737119349789,-0.199931516450488,0.446285406762581,0.000488805962892,0.044863879590402,0.449598697322226,0.037006099227675,0.25014083030864,0.004190662440075,0.053963569452852,1016,454,1006,711,962,978,0,0,0,0,0,0,0,0,0,1.11022302462516E-16,0.05,-5.91570102626005E-09,0.050000000626232
1.69331685557837E+018,0.141666787226208,-0.200000418414906,0.446315970397042,0.000879399456831,0.143499728580897,0.45131419392808,0.135442089489561,0.250632839537851,0.101789820729478,0.054752732572785,1142,453,1135,711,1094,977,0,0,0,0,0,0,0,0,0,0.1,0.05,0.099999992212157,0.049999999206132
1.69331686810604E+018,0.24165314317111,-0.199986731442202,0.446415137453414,0.001088143303519,0.241747601227445,0.45143117841087,0.235046400829757,0.250370942844245,0.200535252299304,0.054109269672249,1267,454,1265,712,1227,978,0,0,0,0,0,0,0,0,0,0.2,0.05,0.199999990099639,0.04999999317631
1.69331687979842E+018,0.341628425732057,-0.199924026112744,0.446307074308479,0.001378932126479,0.3411231459018,0.449954513484413,0.334260044308366,0.249342922184435,0.296721893483972,0.054180646300114,1393,457,1394,714,1356,978,0,0,0,0,0,0,0,0,0,0.3,0.05,0.299999993810386,0.049999993987184
1.69331689165796E+018,0.441722421221983,-0.199799830053059,0.446314182905862,0.000926273950144,0.44007124103422,0.448465093248206,0.430724695837138,0.247533278411828,0.392525557813303,0.053530617466981,1518,460,1519,717,1484,979,0,0,0,0,0,0,0,0,0,0.4,0.05,0.399999988204228,0.04999999306883
1.6933169061903E+018,0.489117405882196,-0.199780324118264,0.43526942988747,0.001080875630432,0.487083096253926,0.4368807332081,0.477341739078082,0.236334780107148,0.439184756576325,0.041313868800894,1578,475,1580,732,1547,996,0,0,0,0,0,0,0,0,0,0.5,0.05,0.447412627142031,0.038952803652532
1.69331692255949E+018,0.492072733691568,-0.199797183021753,0.419769445794515,0.001155607884447,0.491825099696279,0.42254811058804,0.482624506482175,0.220415203993605,0.44504661818127,0.024802206873114,1585,493,1588,753,1556,1019,0,0,0,0,0,0,0,0,0,0.6,0.05,0.450410858282775,0.023470886826288
1.69331693859494E+018,0.493997255321638,-0.199764644946827,0.408312815830434,0.00109581959947,0.493338236988418,0.407442253329424,0.484290090966287,0.209072629460265,0.446632229499731,0.012641356735733,1588,512,1591,768,1559,1036,0,0,0,0,0,0,0,0,0,0.7,0.05,0.452309252068418,0.011993670809713
1.69331695563279E+018,-0.475344117940049,-0.199821621652391,0.486938606658472,-0.00097836339113,-0.473397852135046,0.493855480062079,-0.479484629406579,0.292708729417475,-0.503500174560146,0.092688638874034,349,392,324,651,270,923,0,0,0,0,0,0,0,0,0,-0.7,0.15,-0.517431704563748,0.09067651805963
1.69331696916247E+018,-0.466727737635491,-0.199837327942776,0.511287143194434,-0.001067684551449,-0.464211164803511,0.519525600935346,-0.473556763011187,0.317042703071044,-0.503083249167858,0.117784929281437,363,360,334,619,273,888,0,0,0,0,0,0,0,0,0,-0.6,0.15,-0.508806255114681,0.115058039799233
1.69331698302635E+018,-0.45294628569408,-0.199846662929106,0.54392700929215,-0.000961086638011,-0.450702985541255,0.551882083670667,-0.459113994011195,0.350806091185593,-0.484841378233007,0.149623123383985,383,320,356,575,301,844,0,0,0,0,0,0,0,0,0,-0.5,0.15,-0.494974131292825,0.147653896568772
1.69331699488585E+018,-0.357855545802861,-0.199982183796172,0.546248686240719,-0.0013817480619,-0.354476272391162,0.553812611866431,-0.361611661819621,0.353824237307535,-0.390415788686105,0.152074672059162,507,319,485,572,430,841,0,0,0,0,0,0,0,0,0,-0.4,0.15,-0.399999993591573,0.149999995646064
1.69331700457375E+018,-0.257842679258277,-0.200046772527902,0.546383828612598,-0.00100366431127,-0.252297026553899,0.554191986117858,-0.258919979927662,0.353029762417322,-0.289547235147714,0.152367080638282,638,320,620,574,567,841,0,0,0,0,0,0,0,0,0,-0.3,0.15,-0.299999995919404,0.149999997907628
1.69331701275879E+018,-0.15786835743448,-0.200105235117066,0.546283561676369,-0.000767449771134,-0.151961961741555,0.551293543699228,-0.158830266413535,0.350663685978713,-0.189713968585053,0.152656488016503,766,325,751,578,702,841,0,0,0,0,0,0,0,0,0,-0.2,0.15,-0.199999996452285,0.149999992890805
1.69331702094355E+018,-0.057953668824872,-0.200058472403255,0.546331983090895,-0.000238991600499,-0.052881726978258,0.549995091371614,-0.059964557172841,0.352150470001611,-0.08945561714553,0.153679650151037,892,328,880,577,837,840,0,0,0,0,0,0,0,0,0,-0.1,0.15,-0.099999996408226,0.15000000179633
1.69331702962905E+018,0.041722549202878,-0.200046060551422,0.546307237098307,0.000535880231795,0.044195258872193,0.550295792929443,0.037801653758903,0.350527210738919,0.00603327041172,0.15322394110286,1015,329,1007,580,965,841,0,0,0,0,0,0,0,0,0,1.11022302462516E-16,0.15,-6.75893150475781E-09,0.149999996564133
1.69331703798112E+018,0.141731703450599,-0.200069331302132,0.546358923120325,0.00079391677514,0.144022186990626,0.548990474601675,0.135141047123264,0.348115252586912,0.102645817851639,0.152033259211892,1141,332,1133,584,1094,843,0,0,0,0,0,0,0,0,0,0.1,0.15,0.099999999052831,0.149999996643164
1.6933170458316E+018,0.241709436348078,-0.200032250566613,0.546383511667071,0.001021985063128,0.242626029839171,0.547662161410746,0.234466390716414,0.349599379896529,0.201920318988439,0.152317880749039,1265,335,1261,583,1226,843,0,0,0,0,0,0,0,0,0,0.2,0.15,0.199999998677281,0.149999999898415
1.69331705551972E+018,0.341737040435311,-0.199970236318456,0.546316681324823,0.001312810058596,0.344209497537233,0.552099337711997,0.334090725584564,0.347187275350856,0.298570264880708,0.151856688144141,1392,331,1389,587,1354,844,0,0,0,0,0,0,0,0,0,0.3,0.15,0.299999992447039,0.14999999482311
1.69331706721235E+018,0.441805878231994,-0.199861593683881,0.546302070147746,0.000844996683047,0.443451705652795,0.547482571330374,0.434927250602755,0.34633516300531,0.39857666974242,0.149923008097208,1516,338,1518,589,1486,847,0,0,0,0,0,0,0,0,0,0.4,0.15,0.399999992338388,0.149999994962051
1.69331708057485E+018,0.464962510651994,-0.199813397506252,0.515998284432063,0.00098621513252,0.465166584249367,0.517439529153639,0.456010732041867,0.315335723832575,0.419146280187955,0.120504213558188,1545,375,1547,629,1515,887,0,0,0,0,0,0,0,0,0,0.5,0.15,0.423191345183303,0.119690777831507
1.69331709577516E+018,0.474228525153611,-0.199783532073317,0.490494421775084,0.001019378178654,0.475063003624874,0.493144968735517,0.467329948022374,0.293742964804128,0.429230417570209,0.095641007550886,1559,405,1563,657,1530,921,0,0,0,0,0,0,0,0,0,0.6,0.15,0.432463280761016,0.094188061631678
1.69331710980597E+018,0.480277643623803,-0.199806708135891,0.470962620961816,0.000992280615898,0.479500785058647,0.472158594938115,0.47077201763965,0.271446897062918,0.435754288885474,0.076000919791076,1566,431,1569,686,1540,948,0,0,0,0,0,0,0,0,0,0.7,0.15,0.438534429920364,0.074637703313931
1.69331712350314E+018,-0.451163470467148,-0.19988073435404,0.547599229098984,-0.000998951609502,-0.448522691610448,0.554333653887168,-0.454724982863447,0.35314432294135,-0.479914962868409,0.152541516746042,386,317,362,572,308,840,0,0,0,0,0,0,0,0,0,-0.7,0.25,-0.493213268104696,0.151384910910582
1.69331713636461E+018,-0.43572534103907,-0.199877308955833,0.57752259813647,-0.000890913696386,-0.43391786019575,0.583742307511635,-0.442121397369809,0.382576448165819,-0.465696062265363,0.181757784488554,407,281,381,534,330,800,0,0,0,0,0,0,0,0,0,-0.6,0.25,-0.477723109261602,0.181238431617813
1.69331714839122E+018,-0.412402770495302,-0.199931601798998,0.615019602723696,-0.000967647960045,-0.409478476357547,0.621733078450848,-0.417663184643822,0.420166159768545,-0.444657385311483,0.222333121142056,441,235,416,486,362,745,0,0,0,0,0,0,0,0,0,-0.5,0.25,-0.454388640104933,0.218751633004549
1.69331715958284E+018,-0.35794637006288,-0.200074922698722,0.646311616773613,-0.001303249599473,-0.3529977895767,0.654745615124822,-0.363563371682508,0.45448192882873,-0.390033249472488,0.253083519478404,515,196,489,443,438,704,0,0,0,0,0,0,0,0,0,-0.4,0.25,-0.399999991116216,0.249999991866767
1.69331716893641E+018,-0.257930551412384,-0.200079434741658,0.646350471483892,-0.000977297090776,-0.253431263548961,0.653628817628025,-0.259536520801681,0.453094057414061,-0.28857360966485,0.253602262641395,641,199,624,446,574,704,0,0,0,0,0,0,0,0,0,-0.3,0.25,-0.299999993200382,0.249999993034419
1.69331717645337E+018,-0.157902691964628,-0.200230146316979,0.646347815540287,-0.000664905167434,-0.151847543387753,0.650031255093568,-0.158216687231485,0.452464467032573,-0.185868269423759,0.252626910704266,769,205,755,448,711,706,0,0,0,0,0,0,0,0,0,-0.2,0.25,-0.199999996592981,0.249999991986234
