ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693311798165675640,-0.36003079019681683,-0.20009343389618495,0.5156194644417332,1.408722616375464,-0.35639060332754485,0.5149871887608227,-0.5203717799526544,0.28036288013079613,-0.6530739260161975,0.03034530539469482,502,367,268,667,55,1011,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.69999999247745,0.0499999931332414
1693311827229451180,-0.31256989305267946,-0.20006123219733704,0.5594689983121093,1.092038660191855,-0.309316383566116,0.5566637615757686,-0.4389215339898759,0.2936842003607628,-0.5603422597225594,0.034579806768379906,565,316,378,650,185,1005,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.599999999333723,0.0499999963517295
1693311845436270475,-0.2784066616034007,-0.2001852298520087,0.597197324358463,0.7283460512881783,-0.27415759389839367,0.5970578319676123,-0.36158607071283283,0.3101140950461445,-0.4753874630311335,0.04376905868130898,612,267,482,629,304,992,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.499999998631554,0.0500000004916468
1693311857963983059,-0.25466536366424314,-0.20013718728914281,0.6226451428356445,0.33361836951503887,-0.24854512300456327,0.6286771435743475,-0.2889463577452305,0.32586574922926137,-0.3860846818085977,0.04947614416696888,646,229,579,609,428,984,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.399999999148659,0.0500000007560074
1693311873497791767,-0.22125080871665673,-0.2000607897312206,0.6310525694832245,-0.0008982980052078944,-0.21489118625986017,0.6382348266203861,-0.20486606774141258,0.3333404059533932,-0.27636758468552636,0.04883764055746742,689,218,690,600,579,985,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.299999998642264,0.0499999964080506
1693311881348570824,-0.12129292424130236,-0.20014582571641254,0.6310000887494527,-0.0005770590838805689,-0.11500667734473605,0.6362567343848463,-0.10564067629468357,0.33247786994157036,-0.1786348095837061,0.05032209962371814,815,222,820,602,713,983,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999993726855,0.0499999940999588
1693311889366196871,-0.021562059326569127,-0.20006287950061524,0.6310226212038486,5.1763522594634266e-05,-0.016357193629883016,0.6334191235160394,-0.009096010926107245,0.33159116791649157,-0.08190458650940442,0.051099349469211464,939,227,946,604,845,982,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999995573888,0.0500000026995049
1693311899722312927,0.07864956843721223,-0.20012047399630262,0.6310190892333045,0.0007828711496259147,0.08181529405652652,0.630561668284404,0.08625959346064263,0.3283731337054031,0.017471259652385912,0.04973800082569346,1062,232,1070,609,980,984,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-2.06767834161089e-10,0.0499999995088619
1693311907906860113,0.17857258961026806,-0.20016542311220328,0.630938252451515,0.001257922233014037,0.18121237723538863,0.6335430406800617,0.18353512429560986,0.3290231957716899,0.11429329416494344,0.04980082605472258,1186,230,1196,609,1111,984,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999929833512,0.0499999923606301
1693311919432306767,0.24906383955502498,-0.2000195421701755,0.6306705642925825,-0.14654116625558733,0.2503934601773485,0.634459416224195,0.2789612704419708,0.33198802462227317,0.22560576281434558,0.04772099577859079,1272,230,1319,606,1261,987,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999998534324,0.049999998868354
1693311931124680758,0.2655051888718812,-0.20012065925580982,0.6164854069957029,-0.5727709866551082,0.2667760400755689,0.6154960062070207,0.34345626840682913,0.33009189895420255,0.30378434644891744,0.04561360157637262,1293,253,1402,609,1366,990,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.05,0.299999997405468,0.0499999969265351
1693311947995032072,0.3268537745990614,-0.20006260611121623,0.6032478138020421,-0.7773835838816195,0.3251243023927216,0.603768112822514,0.42907106425814795,0.32599885112003457,0.3888218697569856,0.04134763372970751,1366,268,1512,615,1480,996,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.05,0.399999897065574,0.0499994664054059
1693311967872243643,0.3920312004371272,-0.20005848215059596,0.587046385304886,-0.968999622294073,0.3912502847988113,0.5863420308460507,0.5078474123373461,0.3218498045904612,0.47474367000112117,0.035633340619681375,1449,290,1613,621,1595,1004,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.05,0.500000002886287,0.0499999998470161
1693312000944771290,0.3850444769355676,-0.20002085218404286,0.5066234900559955,-1.6282583209585848,0.3854959245498386,0.5091758245700428,0.5628273362542999,0.2996963048223028,0.5484898586219107,0.01412321745664702,1446,384,1685,650,1695,1034,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.05,0.599999994047528,0.049999995802434
1693312040531854630,0.43982297851059704,-0.19996273228392963,0.4525384712151242,-1.9654944092897415,0.4410811444269074,0.45562002135200186,0.6409943051067941,0.28623413258990216,0.6431575184154091,0.0026522111796215553,1519,451,1786,668,1822,1050,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.05,0.699999998432082,0.0499999983574195
1693312076611312389,-0.3276503434285313,-0.20015677566563944,0.5804772442856356,1.624622595168367,-0.32896001153162513,0.5775744371107331,-0.5097417808555271,0.36500333817807074,-0.6474382671006177,0.11965750090474447,541,290,290,556,74,885,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.15,-0.699999999670479,0.149999996763343
