ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Goal_Phi
1693407448300728321,-0.2968547713830978,-0.2999329782258544,0.24357577947295758,-3.0957941887031923,-0.28967940075941967,0.2517538709502052,-0.17027190865599218,0.3960054590323786,0.023830635156940838,0.4189260205629215,934,1014,736,853,696,591,-1.5763683,-0.02939462656222125,0.419747136646905,0.03400863050444447,0.4201004215642784,697,664,694,577,0.0,0.45,-1.5707963267949
1693407502253004074,-0.3344207408574257,-0.2999133568356265,0.32461188723500745,-2.917305302051425,-0.325620940010118,0.33189021201350266,-0.18254409467029742,0.4511440658096265,0.016699294715641244,0.43389557664842915,827,1060,663,869,676,601,-1.33695203,-0.038049587899131376,0.4452042268656716,0.026119364609782147,0.4299190484218661,663,676,681,588,0.0,0.45,-1.30899693899575
1693407543343541145,-0.3536019422680744,-0.2999378362473809,0.4162456746387093,-2.6883284293337497,-0.3454820438918378,0.4242627598699609,-0.1775579313885941,0.5062179757159848,0.012409571226748461,0.44290023108708254,705,1084,590,862,664,607,-1.1052495,-0.03647183974603996,0.46598025806295323,0.021821301627284462,0.4366951666073601,635,674,672,594,0.0,0.45,-1.0471975511966
1693407587273780346,-0.3503862814976253,-0.2999835342972388,0.5150859661792004,-2.4003281284960636,-0.34026292852939943,0.5233951964975918,-0.15587830942261338,0.5564746004303578,0.010229245008535837,0.4437078824968133,575,1075,523,833,663,610,-0.83494785,-0.03125336467437434,0.4792278314560685,0.018882706943180616,0.4338293448362903,617,667,676,598,0.0,0.45,-0.785398163397448
1693407633208395720,-0.3205337419157161,-0.30003989123783326,0.6158552656390702,-2.0467249982937386,-0.3101705624924995,0.6244085640750819,-0.12427192432227785,0.5988715500625084,0.008073458757358098,0.44747739980079826,443,1034,466,791,658,613,-0.58361317,-0.022347864169887877,0.49311346257510164,0.015263553542017028,0.43615622510117547,598,655,673,603,0.0,0.45,-0.523598775598299
1693407681815599203,-0.2605845381090417,-0.3001165016346037,0.7104640072577411,-1.6261204736683967,-0.24865383802449958,0.7171089672160205,-0.08132401840192205,0.6308563580865743,0.009564515709478805,0.45113517493776834,321,953,422,734,653,611,-0.35143282,-0.009798980464476581,0.5016480085621252,0.01310520488190059,0.4391797336815352,586,638,669,606,0.0,0.45,-0.26179938779915
1693407728752376556,-0.17001776605031643,-0.3001642718890273,0.7873174965711791,-1.145354954687772,-0.1551539413945715,0.7943206571455971,-0.027237067069477705,0.6530689014297134,0.019827088409778648,0.45673895359522837,217,831,390,662,645,597,-0.117768,0.01376505295942454,0.5127777833603128,0.02189234639229376,0.44408607362717406,570,606,662,594,0.0,0.45,0.0
1693407753640607119,-0.054175558983086305,-0.3002017276591203,0.8329564470471292,-0.6209656537204021,-0.03599801239944911,0.8382489751126957,0.031677917013428036,0.6580757647015418,0.03802549774788411,0.4561582640078923,153,675,380,583,645,572,0.08806056,0.04300582852020274,0.5117326877657584,0.03718721487191046,0.4458284348328283,570,566,659,573,0.0,0.45,0.261799387799149
1693407775355135679,0.07326735440871456,-0.30022546569099595,0.8367648698230812,-0.08061406959705204,0.09270081376208883,0.8370992361673184,0.08769380660117132,0.643313407057181,0.04011711945228591,0.44795450265824394,145,504,396,507,656,569,0.37582803,0.061101212866633225,0.5014043476407523,0.03713166888487485,0.4406578606283481,583,541,666,573,0.0,0.45,0.523598775598299
1693407800410366058,0.19475711478881247,-0.30013650640979883,0.7965033266777235,0.44378287415616363,0.21463977983572335,0.7943501340452966,0.1320182524669714,0.6170524595876135,0.022663167600334932,0.4485016739177998,191,338,428,446,656,593,0.67302699,0.057364501192471384,0.49335208386332674,0.015304034734150651,0.44059137415255184,594,546,667,603,0.0,0.45,0.785398163397448
1693407843004309416,0.29312761284538263,-0.30002433806779794,0.7201462982440872,0.9241509437195857,0.3104116243640849,0.7126342755008213,0.17267937298129532,0.574643411746165,0.029835157427076653,0.4379276043060599,291,203,482,389,670,583,0.93864713,0.07452531826855818,0.4727393994612694,0.020330933309703147,0.43304680203418644,621,522,677,596,0.0,0.45,1.0471975511966
1693407893448874235,0.3597145565140049,-0.29996634436467656,0.6211356617426935,1.340063246122481,0.3734354146348856,0.6118661354024371,0.19897179394249903,0.5220821155962713,0.026787172531958392,0.42399821602214066,421,110,551,351,689,587,1.15270874,0.07777060728904178,0.4452995182748075,0.018744063253132937,0.41907516387778443,658,517,696,598,0.0,0.45,1.30899693899575
1693407945062641859,0.3927246477926563,-0.2999580324077983,0.5135409656450004,1.6863771642610537,0.4039164803300455,0.5028394028078071,0.21203490857887014,0.4668545549358478,0.022270959100525456,0.4079269645136473,567,61,625,331,711,593,1.36968083,0.07452153161705688,0.41890844299006363,0.011353929339388613,0.4060303605877873,694,521,714,608,0.0,0.45,1.5707963267949
