ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Goal_Phi
1693401530757959843,-0.3220090356834496,-0.29991663508769434,0.199672985848761,-3.084438611435098,-0.3147704138447551,0.210717974565594,-0.1685294107739025,0.3510272314784804,0.05107897330200306,0.3440114555173259,990,1051,797,850,798,552,-1.46069275,0.0004361169774782514,0.34962785866498153,0.05972233878203387,0.3430737276088919,792,622,799,540,0.0,0.45,-1.5707963267949
1693401568340836287,-0.3684483260209333,-0.2999147055705514,0.28770910288359164,-2.913694158746878,-0.362404603097927,0.30805877987910546,-0.19059112769968678,0.41292682549373855,0.026705976452144564,0.3643496119269094,859,1112,715,879,771,586,-1.28092395,-0.02121749189182498,0.3780789358307448,0.03536898579634684,0.36120067190499516,754,652,775,574,0.0,0.45,-1.30899693899575
1693401609097396135,-0.3952449179481772,-0.29994852602079425,0.3887095624983268,-2.693877094065349,-0.3971579442486878,0.4047895793635161,-0.1947415174396675,0.4749830754373592,0.011636102313671626,0.38382677226653417,731,1155,633,884,745,607,-1.08540933,-0.03421813938742191,0.4072246478716655,0.018865747447339487,0.3792241063879759,715,670,751,597,0.0,0.45,-1.0471975511966
1693401644174731970,-0.39775983666558745,-0.29996433536984496,0.49923983459120175,-2.4160609164637457,-0.38556284552342035,0.5124755667408695,-0.18069781529643847,0.5354403849814838,0.0023116735833270674,0.40102275581093116,589,1137,553,865,722,620,-0.8689651,-0.039216066957384776,0.43407243740143164,0.008808740919901137,0.39347113103754117,679,677,732,611,0.0,0.45,-0.785398163397448
1693401676579502821,-0.3707493622802147,-0.30003384748419093,0.6138140523150648,-2.0730737210200654,-0.3536478734026517,0.6224055962322516,-0.14983090620762296,0.590252171688576,-0.0019608686992126367,0.41443805197392364,445,1093,480,824,704,626,-0.61801467,-0.03394430867005693,0.45698701931871116,0.0016304399274675863,0.4069463030438868,648,670,714,621,0.0,0.45,-0.523598775598299
1693401704975404739,-0.3097903937026393,-0.30007733161650224,0.7235995807500741,-1.6626984919208498,-0.29331791786919525,0.726739582227047,-0.10445229031228531,0.6330556093799506,0.0033036630538306744,0.4327891078446994,308,1013,422,764,679,619,-0.45075418,-0.02054946094969612,0.4811884460796914,0.008322746874575682,0.42153334543762355,615,652,694,612,0.0,0.45,-0.26179938779915
1693401740553859711,-0.21334995794105072,-0.3001000470621129,0.8158429854291169,-1.190311897324644,-0.19538312252284595,0.8178429191022245,-0.04554133825341122,0.6659646917179372,0.015855739361370302,0.4472369278215788,186,885,376,686,659,602,-0.21423427,0.003104458078159844,0.4975870945110369,0.016483537216281374,0.4360947534169786,592,620,674,601,0.0,0.45,0.0
1693401764105809927,-0.08617251630005311,-0.30017616841614597,0.8750183409205015,-0.6708578312824608,-0.06770576460922251,0.8737945390485221,0.02570570791251614,0.6773326203378363,0.04145319670312264,0.4531093421189801,106,718,357,591,650,567,0.0109573,0.04057545619189884,0.5060003865255243,0.039874633271219206,0.4420434934356907,579,569,665,569,0.0,0.45,0.261799387799149
1693401788659924746,0.05732909247405747,-0.30014867287271135,0.8879609935041053,-0.13045776607521833,0.07784676727016493,0.8854573489387638,0.09166800751098925,0.6673422315511621,0.05227326942806865,0.44462037108122493,80,525,366,502,661,552,0.23669713,0.06529197222324573,0.49692501078242124,0.050723824033203746,0.4365311069210069,590,535,672,554,0.0,0.45,0.523598775598299
1693402123602863789,0.19737405894649981,-0.3001498469125762,0.8502937204029917,0.39904352231735146,0.22111662242340147,0.8416755027358449,0.13613469672904127,0.6401064534064866,0.014455168650502448,0.45396395004754914,125,330,399,441,650,604,0.67731337,0.045565767576418614,0.4946252154514044,0.007077851393659129,0.4467682144930265,594,562,660,614,0.0,0.45,0.785398163397448
1693402263578737736,0.3135734684978362,-0.30001616465351305,0.7697264876832974,0.8885189361552153,0.33231414789609603,0.7571256706177764,0.1841589265023993,0.5955946992063156,0.029594053682270194,0.43421543666259843,227,173,455,374,676,583,0.78981028,0.06788597610664193,0.472289066779984,0.02223423422077797,0.42703839931453563,623,531,686,593,0.0,0.45,1.0471975511966
1693402310181601524,0.3946017404734591,-0.30000661573587967,0.6610343840406472,1.3160623547956416,0.40783009279392424,0.6450876482158854,0.2204060322359625,0.5364005392502916,0.02945828984378429,0.42091149132000116,371,61,532,322,694,583,1.06715614,0.07406478207859613,0.44542098168793165,0.020670549690681272,0.4159987027432228,659,522,701,595,0.0,0.45,1.30899693899575
1693402364301079988,0.4375262134477927,-0.2999601115885848,0.5405888010920785,1.674416538823206,0.4449700047443055,0.5250027252890581,0.23459712306763364,0.4720836851496173,0.022769239316815293,0.40708308289968953,532,1,618,300,713,592,1.29822579,0.07229957891556016,0.42186067772255503,0.012555001352529849,0.40516042299471133,691,524,716,606,0.0,0.45,1.5707963267949
1693402406226966619,0.44563502749985967,-0.29992018150361965,0.42092331692313617,1.9638777929499722,0.4449267666041295,0.40586792517609327,0.23234859976892602,0.41116511379937837,0.010973733819179432,0.39120259684391356,697,-6,701,301,735,608,1.50533513,0.06398773921811518,0.3948893061024778,0.0007692431449995984,0.3907450263409732,728,535,736,622,0.0,0.45,1.83259571459405
1693402446482540131,0.4245858305449419,-0.29991098322820714,0.31046767381211493,2.191433612619598,0.42635831119705525,0.30194457876615355,0.21452647510303907,0.3511704657621597,-0.004414685756120584,0.38057784870268957,844,15,784,324,750,629,1.77929505,0.047052610004192585,0.3704166089384857,-0.012421138500975704,0.3829996761070905,762,558,747,640,0.0,0.45,2.0943951023932
1693402499933804989,0.3844473669318803,-0.29992196965856577,0.22098013378449774,2.355288566846666,0.38618670609012695,0.21435763960553084,0.18422327414149997,0.2990457185373709,-0.025687248214289027,0.36421769878676985,970,69,857,365,773,658,1.95060406,0.024335649653171476,0.3446583426001216,-0.034433332379710024,0.3681183207287634,798,589,768,670,0.0,0.45,2.35619449019234
