ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693316743831798792,-0.4924166922283819,-0.19975465875379722,0.41761962830388494,-0.0011895244457380064,-0.48877929492028294,0.42345290598431534,-0.4955070954980211,0.21990630264821287,-0.5215036797818623,0.02189324510022983,323,481,296,748,238,1023,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.534588983290069,0.0213865182803435
1693316760201209068,-0.4896629359413124,-0.19979558117794663,0.43236241143946796,-0.0011144797756761505,-0.4859390940806988,0.43837086750296206,-0.4966693731142374,0.23701754198810865,-0.5256198478959379,0.038754346102009785,328,462,296,725,234,999,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.53181786136759,0.0360921973115511
1693316775401694775,-0.4578581981538523,-0.19981785332279883,0.44625574037217225,-0.001043557713134009,-0.45541640801532096,0.45124395527427746,-0.4655576602340487,0.2506234903784804,-0.49348086252862944,0.05288691185687466,369,446,339,707,280,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.499999992553694,0.0499999971370365
1693316790100625515,-0.3577769210831437,-0.19991873462175866,0.4462541109384224,-0.0015192500960364151,-0.3528062699965311,0.45458408646592396,-0.36097918426185677,0.2511530440605346,-0.3928443047714535,0.051542592038362756,503,443,479,707,419,981,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.399999996360612,0.0499999959718904
1693316803129510403,-0.25779411342250463,-0.19999757002188417,0.44637349423243666,-0.0010851635232627364,-0.2517361248007265,0.45079295114430196,-0.25962550172519006,0.25016193730741,-0.29337832223174753,0.05303229130879317,634,449,614,709,556,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.299999993081076,0.0499999937824944
1693316816826364040,-0.15782646804773462,-0.19995898609077403,0.44630058231224995,-0.0008411492692987067,-0.15199985562550195,0.45172981760353154,-0.1601648747657409,0.2506623212207518,-0.19120302383637156,0.05310652419388462,763,449,746,709,696,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999992136352,0.049999993281105
1693316830689981699,-0.057929967660336965,-0.1999371830041741,0.4462795361787014,-0.0003647014034763877,-0.05336010435213095,0.45027277277877004,-0.061012834570668056,0.24965090563842574,-0.09225532816306943,0.053892000371162596,890,452,877,711,831,978,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999941526404,0.0499999929604076
1693316843551916122,0.0417371193497887,-0.19993151645048798,0.4462854067625812,0.0004888059628920541,0.04486387959040197,0.44959869732222624,0.03700609922767487,0.25014083030863965,0.004190662440075267,0.05396356945285197,1016,454,1006,711,962,978,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-5.91570102626005e-09,0.0500000006262324
1693316855578368664,0.14166678722620818,-0.20000041841490612,0.44631597039704224,0.0008793994568309892,0.14349972858089746,0.4513141939280803,0.13544208948956055,0.250632839537851,0.1017898207294782,0.0547527325727849,1142,453,1135,711,1094,977,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999922121571,0.0499999992061315
1693316868106039047,0.24165314317110967,-0.19998673144220203,0.44641513745341366,0.0010881433035190618,0.2417476012274448,0.45143117841086966,0.23504640082975672,0.2503709428442452,0.20053525229930427,0.05410926967224927,1267,454,1265,712,1227,978,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999990099639,0.0499999931763103
