ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693322100537673712,-0.4355069101229975,-0.2497791398957095,0.3180438110125059,1.6518891175260222,-0.4345682055957552,0.31802283165050416,-0.5900167249768579,0.21441348234633995,-0.6795177614292641,0.039021476319344384,357,610,125,755,-34,1014,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.699999997606734,0.0499999985163413
1693322148977604151,-0.3715204599335573,-0.24988271828763364,0.36039089744427466,1.3226560076072917,-0.3685761598034992,0.3612527909565957,-0.5071694969434288,0.2245658621506239,-0.5816036712168562,0.04366850424500501,453,551,245,741,112,1007,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.599999997385965,0.0499999982715945
1693322192741077900,-0.3040574104077715,-0.24975671612269545,0.38831171701900147,1.0620932325468828,-0.30158925453286284,0.3881595231185847,-0.41501024450369084,0.22919748780372873,-0.48137354709030006,0.04303463138596453,548,515,377,735,260,1008,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.499999999814197,0.0500000000640602
1693322230657592297,-0.23287234773957674,-0.24978820611760275,0.40752836939670106,0.8475482956858041,-0.2286075528890743,0.4087146690838997,-0.3245664526335645,0.23596063744576878,-0.38413783639936844,0.043061581212239464,650,488,506,726,403,1008,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.399999999621061,0.0500000002086299
1693322258719467640,-0.16468659307663724,-0.24978917546576873,0.42357977045580464,0.6221771792363584,-0.1592915070845469,0.4264268178666576,-0.2328006698282123,0.24064293105063705,-0.28586381302682756,0.04508786333807513,746,465,636,720,547,1005,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.29999999865407,0.0500000016827182
1693322289954858303,-0.09955314644566272,-0.24981182075113997,0.43607241164321464,0.38560225733239367,-0.09520350003670877,0.43822666662650717,-0.14192993337508222,0.2439231635685385,-0.1884602236491915,0.047124066023933486,834,450,764,716,689,1002,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999999889391,0.0499999998310313
1693322315678235769,-0.035901437005117956,-0.2498424894971994,0.4439217235703983,0.14484901817559634,-0.031440474050879526,0.44633099814926636,-0.05420832684146029,0.24933870880147357,-0.08848584883561061,0.04917150946585103,921,440,887,709,834,999,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999995492497,0.050000001019572
1693322342403817654,0.027281964848065998,-0.24981298134967084,0.4468216433183568,-0.0963602642097264,0.029683459134784956,0.4491726441360837,0.04261001700549106,0.25125427813035306,0.032865422661427404,0.04989431832577462,1004,437,1022,707,1009,998,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-1.15161880032133e-10,0.0500000002291379
1693322362948937893,0.08716327859660887,-0.24981577739063082,0.4443463105530682,-0.3589979006853487,0.08802674492437859,0.4482252528646254,0.12833508449633818,0.2524042129719303,0.1269535303595849,0.049934949036166354,1083,439,1141,706,1144,998,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999999602299,0.0500000000630752
1693322418571687222,0.15050894258960873,-0.2497755734927363,0.43682828280494646,-0.6053940390102784,0.1500900949438556,0.4397736419123009,0.21588166253302332,0.2542839342390645,0.2214865138671516,0.05132655928763763,1167,451,1262,704,1279,996,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999999711297,0.0499999983195219
1693322447468577147,0.2168810881787725,-0.24976647978046915,0.4252720660305156,-0.8397911852432779,0.21509482636115024,0.42908882338803594,0.3028994744508352,0.25113530917046656,0.3184445739876661,0.049340937412614916,1255,466,1382,709,1417,999,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.05,0.29999999949449,0.0499999977221685
1693322495908560753,0.28371637761522683,-0.2496738647674727,0.4086298323807592,-1.08198481836712,0.2836127897790738,0.41243409170265,0.39382881410317405,0.24799527480250882,0.40863404728684405,0.04598989341506465,1348,489,1507,714,1545,1004,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.05,0.399999998320315,0.049999998904019
1693322768341991186,0.35285098387637603,-0.24980231943941195,0.3884504595864667,-1.3244134847608633,0.35558798704673816,0.39209748552975315,0.4842702945651023,0.24412160744919065,0.5035050405440207,0.044664572560797366,1446,517,1631,720,1679,1006,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.05,0.50000000125115,0.0499999982582035
1693322824131783724,0.4173828019569964,-0.24968379231031573,0.3568603217256128,-1.6338005053267317,0.4209150443923141,0.361359283647486,0.5713563671658399,0.24093972540332287,0.60226295370801,0.04265515048732327,1536,559,1750,725,1818,1009,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.05,0.599999999821453,0.0499999999889908
1693322898963194370,0.4770839783094074,-0.24984524934422447,0.3052630221997805,-2.056304344104771,0.48520279900540075,0.30727941840680395,0.6535453989338992,0.22908011097868386,0.6982761557956125,0.04540626451326757,1627,633,1863,742,1952,1005,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.05,0.699999997507323,0.0500000002055947
