ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693302873630594015,-0.45056359872124785,-0.19998011401879145,0.5490148496808918,-0.0009118279597172662,-0.4501260301693781,0.5566692672774045,-0.4482266096022951,0.2492060688525486,-0.5243583526224713,0.003757572556133848,384,314,362,709,232,1049,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.529330671181496,-0.0319715281126075
1693302890333959103,-0.4338218551558455,-0.2000013147489187,0.580765284854163,-0.0011717258033779702,-0.43255342224192217,0.5885728516974351,-0.42779502375979894,0.2824101649109454,-0.5025213086831164,-0.0011313996480460942,409,275,392,665,262,1056,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.512557756671324,-5.31910640305666e-05
1693302902193854809,-0.40795814768182376,-0.20002749868263617,0.6213599243730872,-0.0011144884994073892,-0.40518499875016994,0.6307660715938345,-0.40156389406161125,0.32359673763660857,-0.4802938571571876,0.04092630987181356,447,224,430,611,297,996,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.486647703990147,0.0405431336560252
1693302914721072435,-0.32123217928875225,-0.2001024282205109,0.6309042704235168,-0.0013515616448452207,-0.31671184292422433,0.6377369454612447,-0.3119402246036007,0.3310874192622424,-0.3897472480270418,0.0494555980297634,560,217,549,602,423,984,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.39999999524933,0.0499999960513872
1693302925745791674,-0.2212601932140298,-0.20006156516650736,0.6310460233072197,-0.0009107738263387905,-0.2164929642242349,0.6382585400467229,-0.2116902018304679,0.33176907075591655,-0.2917422711827542,0.05022885855951009,687,218,681,602,558,983,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.299999998620985,0.0499999974024373
1693302932092850447,-0.12129436796617127,-0.20013766111689552,0.6309988855794784,-0.0006472705935558837,-0.11661928982529568,0.6371105555538847,-0.11560238304985164,0.3331925302195533,-0.192586945547445,0.0517175524686474,813,221,807,601,694,981,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999997645717,0.0499999921846992
1693302937103758097,-0.02157066371416934,-0.2000563311062965,0.6310274412157855,9.201797904004543e-06,-0.01795527752970662,0.6342737724790934,-0.016760126681130038,0.3300089656020746,-0.09440757665932635,0.05178583184125474,937,226,936,606,828,981,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999924318279,0.0499999897235119
1693302944119219065,0.07855956731383956,-0.20012079466698632,0.6310388611990754,0.0008350750917155154,0.08264068724373771,0.6331142966207878,0.07858037006589051,0.3306508681189355,-0.00024040145156513718,0.053995512525109146,1063,229,1060,606,956,978,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-5.55688339787253e-09,0.0499999931789529
1693302950299607754,0.17856127634761543,-0.20015308277745025,0.6309428041951886,0.0011555736478993715,0.18037196589401422,0.6302398380812806,0.17352795418088485,0.33051594217769764,0.09510239980704265,0.05549936030067448,1185,234,1183,607,1085,976,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999976484052,0.0499999944906785
1693302956980752230,0.2785077986871363,-0.20007639814485506,0.6309031888007017,0.0013771020327290654,0.2793473048516082,0.6315437535518796,0.27193075686101637,0.3296256238760956,0.18712938565046297,0.055570511032692504,1308,234,1310,609,1209,976,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999995796324,0.049999997852091
1693302965499608755,0.3785951773595857,-0.1999832555646324,0.630888064947585,0.0011203612479314244,0.3803303333464853,0.6320368786663114,0.3683411819521093,0.3279394206778452,0.28325788965818954,0.05564483285650568,1433,235,1434,612,1338,976,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.05,0.299999993110758,0.0499999930296078
1693302974853415728,0.4242152247449088,-0.199948632002249,0.5969825681535847,0.001053515417578712,0.42575365145492744,0.5992506542708899,0.41512661244658444,0.2949617799435007,0.32975787212154867,0.021260291482240734,1491,275,1496,655,1402,1024,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.05,0.345653813937339,0.0161123478946251
1693302985042486429,0.44429339141324087,-0.1999233068295002,0.5617776580820942,0.0008194993325918497,0.44417831839131844,0.5638768925253317,0.4313215542067776,0.26127004031593903,0.35955208243022335,0.0034446731241492,1516,318,1519,699,1443,1049,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.05,0.365751037342192,-0.0192437886608451
1693302996400926352,0.4575886283317764,-0.19990175088303544,0.5338554137482707,0.0009041805969684295,0.45714033748185584,0.5344481807368817,0.44388768603958695,0.26439586995471287,0.37440663806768015,0.0027282570795963412,1534,354,1535,695,1463,1050,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.05,0.379073428378664,-0.0471594080668387
1693303008260819435,0.466720149042536,-0.199930691764321,0.5114607816341541,0.0010698543637982438,0.4647598776482066,0.5116685806789056,0.4461901284026885,0.2491280786075809,0.3825647894192073,0.002014094219992657,1545,382,1539,715,1474,1051,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.05,0.388257405700821,-0.0694907324348993
1693303046177081347,-0.42084672174727195,-0.20003705343592626,0.6022943509995526,-0.0010333202163184047,-0.41966692028903835,0.6091888927474726,-0.41091545953691755,0.3022074228060626,-0.4837992890018557,0.01843136492337516,427,250,416,639,290,1028,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.15,-0.499522025891646,0.0214481516323688
1693303056867330074,-0.3972240195352074,-0.20001842921803964,0.6359741677640822,-0.0010965808446340547,-0.3956869100325433,0.6441151212554072,-0.3894355410149733,0.3366889537729507,-0.46521705102617567,0.05294283050371351,460,208,447,594,319,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.15,-0.475894217555394,0.0551566924632441
