ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693304076281955719,-0.32747626097183863,-0.20011027993579614,0.4804516811319375,1.6241245102745818,-0.32917068624254253,0.4785196913830461,-0.5128084683815439,0.26836423692338485,-0.650604040206472,0.02684861270040584,535,413,277,683,58,1016,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.699999999162362,0.0500000000248298
1693304110858631849,-0.25539634304785375,-0.20002517864455938,0.5110580595287939,1.4391918719080636,-0.25217942293553863,0.5088793277827658,-0.42228005613633257,0.27865802551380603,-0.5542093649445902,0.02966932798111943,636,376,399,670,193,1012,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.599999998895249,0.0499999979975916
1693304137583891153,-0.1898781428643391,-0.20008360465543515,0.5421613346214647,1.2259894437989036,-0.18687026174484145,0.5394254565578478,-0.3325979790816578,0.2874943062877492,-0.4608887936627704,0.03179956202479095,721,339,519,659,323,1009,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.49999999865347,0.0500000003368838
1693304158797178745,-0.11965094754263045,-0.20001211376208813,0.5642416511912607,1.052872355958447,-0.11599853710045388,0.5613675886817096,-0.24391143863849887,0.2971359787989274,-0.3672434744308795,0.0360565908269066,812,313,637,647,453,1003,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.399999999139402,0.0500000023849276
1693304181681000233,-0.04962711103310653,-0.20005935866997243,0.5827955021406742,0.8852323143050961,-0.04530244848692822,0.5810218048536416,-0.15536007341216423,0.3037771168333674,-0.27380462900743424,0.039627684234464944,902,290,754,639,582,998,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.299999998930723,0.050000000084892
1693304199386928082,-0.032620453765659654,-0.2000802899897288,0.617292651435785,0.4469517664950247,-0.02818227689457825,0.6174954228798519,-0.087880680339535,0.32182587939169094,-0.18809594991180595,0.04889626005134662,924,246,843,616,700,985,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999999304196,0.0499999996929138
1693304214754261255,0.008463492448389745,-0.20006026552628345,0.6289307896210662,0.14853536388087885,0.012346343640120305,0.6312996623056754,-0.011389867810517363,0.3300313894010084,-0.09810661943671468,0.053943230173674084,975,230,943,606,823,978,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.100000000034438,0.0499999989627561
1693304226780691624,0.008033397509942114,-0.2001066351354852,0.626315602270068,-0.3547500662914217,0.01156561983692845,0.6254745542924287,0.06857488446453538,0.335206955834466,0.02041824215205322,0.05117159954867678,974,237,1047,600,984,982,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-3.89247051257868e-10,0.0499999999713306
1693304238974103689,0.03208457366939403,-0.20006921365244365,0.6054650625871252,-0.7505932953424126,0.03309349582247914,0.6075269999479798,0.13876495430705726,0.3333637716181205,0.10389191516247703,0.04622018816361051,1001,259,1138,603,1097,989,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999988141713,0.0499999990158314
1693304257682007551,0.0854920144342321,-0.20004871629434656,0.5836008376335176,-1.007194439714571,0.08475082109013034,0.5875434204085624,0.21365346975006183,0.32612641228046413,0.18678785416880506,0.03982658503341174,1066,284,1235,613,1209,998,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999998630055,0.0499999976269584
1693304279229530573,0.1498519544970158,-0.20008798755061682,0.5615949579679662,-1.2143320189439821,0.14894617889137787,0.5644849282924399,0.2971507893021781,0.318161101973078,0.2758175268011397,0.03413784380801721,1147,313,1343,624,1329,1006,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.05,0.29999999964553,0.0500000008147412
