ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693299423383771181,-0.4529623671623348,-0.1999538015019618,0.5444664021627545,-0.00025370618508481463,-0.4504779013457064,0.5493968092343168,-0.48066768739041077,0.2550344007350891,-0.47711277773304706,0.00443372474905479,383,323,319,701,298,1048,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.482846606437652,-0.051335150993293
1693299436078293800,-0.4382424128226263,-0.19996532236481082,0.5733875678870386,-0.0003637487361812236,-0.4366709260784402,0.5787521471559021,-0.46616476812451074,0.27314281367285465,-0.46213089918345646,0.005825999886966304,403,287,340,677,319,1046,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.46814087805745,-0.0223228806608193
1693299450777655363,-0.41623585515594713,-0.20000680674724441,0.6091016844173778,-0.0014889669561448133,-0.41295951728718927,0.6150322912547866,-0.40541812558094525,0.31137086216206256,-0.43818140051862525,0.013517435799129673,436,243,424,627,353,1035,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.446073998091199,0.0141325362473677
1693299464474638939,-0.37019322819965056,-0.20008059231880554,0.6450354971312204,-0.0013664792423936443,-0.36702819585275637,0.6528078988205045,-0.35745099885408477,0.3476693541847974,-0.39337938148371876,0.049449022312831326,497,198,490,580,418,984,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.399999993408777,0.049999993374116
1693299479173561573,-0.2701227621831081,-0.20013946190092674,0.6450908737833561,-0.0014596854016199411,-0.26682822991959976,0.6533613165473092,-0.2579430367878577,0.34838259968380647,-0.2947524312132817,0.05235237482313759,624,199,621,580,554,980,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.299999991940224,0.0499999917526092
1693299488360573769,-0.17019201054730837,-0.20021471219626336,0.6451437176850322,-0.001006989215715322,-0.1645214649478983,0.6497760551387157,-0.15718166702931027,0.34678749904022954,-0.1948059681470256,0.05242343562154683,753,205,753,583,691,980,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999992963576,0.0499999926713506
1693299497046147346,-0.07015837312952228,-0.2001895564765619,0.6451869749629637,-0.0006747202258114478,-0.06588592457941547,0.6477915360563793,-0.059134357902716914,0.34748534286971244,-0.09443360442361906,0.053208084219108054,877,209,881,583,828,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999993444453,0.0499999966277128
1693299507402381182,0.029966382907590447,-0.20011855572669746,0.6452079847948071,0.00048322776872057474,0.03469177235684183,0.6449872003422097,0.03932954610603642,0.345085318766183,0.002713344712279237,0.05327866388391356,1003,214,1009,587,960,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-4.53936171637692e-09,0.0499999941872976
1693299514751893520,0.12969888658389797,-0.2001915916281744,0.6451987319681096,0.0011905123069952772,0.13163247399019878,0.6454630449889569,0.1342887445484988,0.3442021297022856,0.09731576084111301,0.05406379364855318,1124,215,1132,589,1088,978,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999987267237,0.0499999965640704
1693299521266290188,0.22966736069512955,-0.20007593608144364,0.6452414141450813,0.0013437626909000562,0.23216527326881936,0.645146403406985,0.23268870240805284,0.34255975456127596,0.1975020551386434,0.053420182706811925,1249,217,1259,592,1223,979,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999993511568,0.0499999905168073
