ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693382279092877865,-0.41353044500800173,-0.1999455080648774,0.613889901748489,-0.00021380722083972747,-0.4104588770977582,0.6191329602441166,-0.4195449459268362,0.3000530639744998,-0.423228874423139,0.004370979434191735,436,231,404,641,371,1051,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.427593152718586,-0.135021807008222
1693382292455536366,-0.3912734575659369,-0.19995968712108178,0.6441432217607282,-0.0003324292427083303,-0.3873472646437424,0.6504259706505285,-0.4063350484979576,0.3175157625463313,-0.4003473437509687,0.002977546340963255,468,193,423,618,403,1053,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.405343540892275,-0.104773939361559
1693382304482057333,-0.3607927042845631,-0.20001475474380448,0.6789876799492272,-0.0005224298594768506,-0.3587349008860449,0.6853744815360634,-0.369669850352738,0.3329452132313103,-0.3703535820060883,0.0022725082097350136,507,151,473,598,445,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.374904524628832,-0.0699302362745776
1693382318011975288,-0.3188334363979941,-0.20003213394747155,0.7179893548210545,-0.0004896457312001468,-0.31582676415954747,0.7233879847949789,-0.33671475473906676,0.3354567492418845,-0.32899030085029646,0.0036412555625844334,564,106,517,595,503,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.332960648161698,-0.0309209219424248
1693382345739616394,-0.26160138593660975,-0.20021855385764145,0.7586421685878666,-0.001036923748731768,-0.25915307129737736,0.7662629972845124,-0.2456796699423525,0.3837112997480478,-0.2703882505401188,0.006396083740277003,638,56,640,533,585,1048,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.275549690194677,0.0101683580905815
1693382355260488033,-0.18538256419987076,-0.2002713380301851,0.7969970532682891,-0.0005761484999690943,-0.183321532553617,0.8065947008972368,-0.16979968444659488,0.423211331752012,-0.19184256585355947,0.046959272426180476,735,10,741,483,696,990,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.19936446757616,0.0484081112067191
1693382366952977180,-0.08603025117121779,-0.200397995859403,0.798544953370409,-0.00046244160974555636,-0.08101275197541924,0.8066528657898628,-0.06921414029476552,0.4233141147861863,-0.09252297219866532,0.04913060099079325,863,12,872,484,833,987,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999994106824,0.0499999976007847
1693382386162346363,0.014254574837255965,-0.200319678777037,0.7985622442323195,0.0004497372831945674,0.02252084646481839,0.8058683240460636,0.030249390659797138,0.4241887125864769,0.005100095418142476,0.05060384567811538,992,15,1001,484,967,985,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-1.60833086085277e-09,0.0499999943881752
1693382405538238525,0.11410081501639743,-0.20039954304336838,0.7984985804470133,0.0009163585235030761,0.1216172751293142,0.8049976441008697,0.12934071424891275,0.4227005859935802,0.10462668982030458,0.04995804772718182,1115,18,1129,487,1103,986,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999975094621,0.0499999930122608
1693382419067827940,0.2087338685087842,-0.20022607973675577,0.7869680777079422,0.0009507555252629776,0.21435290961718126,0.792853368171011,0.22312278459405438,0.41172007498964586,0.19841136347164218,0.03725358561172498,1230,34,1250,502,1231,1004,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.194684358552029,0.0384248058421033
1693382429758194208,0.27938645199804113,-0.2000692426424314,0.7473699773756158,0.0009657523102583061,0.2860157419813597,0.7522155312750842,0.2902681323172204,0.3692559929985423,0.20498116520523563,0.003427674064441333,1320,83,1338,557,1241,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.05,0.26542742243141,-0.00130679625013586
1693382438443876743,0.33206678256409955,-0.20004055325398049,0.7065023917351139,0.000966411007320983,0.3361045372409211,0.7081753641872035,0.3454337122827602,0.3309050905581037,0.31358577046455266,0.0033842336640246273,1384,136,1411,607,1389,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.05,0.31811274128622,-0.0421682889617478
1693382449301043034,0.3703979801250066,-0.2000393401132089,0.6684921185338062,0.0010650879582301878,0.3740417218894674,0.6718552792240856,0.3858648332179941,0.3173004786010526,0.35106975020593656,0.0019618388718097846,1433,180,1464,625,1440,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.05,0.356457476539677,-0.080130340241946
1693382462663754940,0.3982728194938377,-0.19995284347075035,0.6349593909016809,0.0007605335919700669,0.4005345181331082,0.6364780650988463,0.4207320089480614,0.25563160922392414,0.37907840216775934,0.0019497773969827659,1468,223,1513,706,1478,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.05,0.384312019234308,-0.113687566889839
1693382473354057550,0.4187053284054692,-0.1999315963861079,0.6059487781334179,0.0006587206693325238,0.42152156033673044,0.6070517023933231,0.44161019556765685,0.22852716520882344,0.3982619102213511,0.001941516328231696,1496,259,1542,742,1504,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.05,0.404742264938026,-0.142689940709655
1693382500747751713,-0.3855756770343352,-0.19998836427795946,0.6511697368392677,-0.0003754503136764223,-0.38065745392468914,0.6562541887943041,-0.3959404221184519,0.31909912332347,-0.39460495004887963,0.002282951670761757,477,186,437,616,411,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.15,-0.39966883810666,-0.0977669860980331
1693382511939256191,-0.3595111262259062,-0.20001414166560114,0.6802961030255251,-0.0005333184029847942,-0.3555763932137091,0.6845947165228415,-0.3661077601889088,0.33677671588289704,-0.3689633136532431,0.002964512184808532,511,152,478,593,447,1053,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.15,-0.373636181858578,-0.0686121028089198
1693382527974235773,-0.3256034185506573,-0.20002351029924065,0.7122635677869305,-0.0005123654027443281,-0.32185315908380524,0.7174574627512064,-0.34015565957970084,0.34458667233397666,-0.33610607453036645,0.0029508661876501696,556,113,513,583,493,1053,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.15,-0.339728720475346,-0.0366297725482668
1693382547350347996,-0.28160973008091095,-0.20002278060335524,0.7459912021241031,-0.0004497168374646522,-0.2768310239264151,0.752491988374931,-0.2897671748847897,0.38490482504310286,-0.29320708658155054,0.0036269427518860198,615,72,582,531,553,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.15,-0.295718521821868,-0.00288902310783479
1693382579087142467,-0.22551934010849436,-0.20026339973591561,0.77887331177418,-0.0006540299711195226,-0.2233965278495353,0.7880279779996971,-0.21053454777635183,0.40337394535864485,-0.23735374027555156,0.02590529925931706,684,31,687,508,632,1020,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.15,-0.239503524939295,0.030295081191933
1693382590445459127,-0.1561173378936142,-0.20027463705880608,0.8076399759614779,-0.0005196949475270601,-0.1531941782132148,0.8156675190487712,-0.13928809956384408,0.43052691794201225,-0.1667799099514169,0.057548491361034904,773,0,781,474,731,975,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.15,-0.17010453506916,0.0590458604227552
1693382601135496616,-0.0750968964628548,-0.2002959619155607,0.8269935547283485,-0.00041944875109517336,-0.07002025682013985,0.824847379604041,-0.058762789379941616,0.4517125820464856,-0.0857031933287654,0.0781795207179996,877,-9,886,448,843,946,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.15,-0.0891124234634341,0.0783685323268327
1693382611658753395,0.012608337539430553,-0.2001973124083877,0.832557098479644,0.00029353281565942433,0.017651254709937454,0.8324254397944266,0.02713936546468145,0.45489340425354685,0.00204798545119585,0.08399288856137699,986,-16,997,445,963,938,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.15,-0.00163273966204258,0.0838938517773486
1693382622181873322,0.09877089312506608,-0.20028829730116632,0.8228174761487854,0.0007315191932194662,0.1024530621848116,0.8287541416930582,0.11407228172367526,0.44621678171010837,0.09013930030244789,0.07269083011344402,1091,-10,1109,457,1083,954,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.15,0.0847354531037467,0.0742046463415796
1693382636212754011,0.176883149856445,-0.20026440779924864,0.8002988110069542,0.0008868368041114168,0.18629988192821692,0.8061064131036677,0.19148985059178592,0.4232438869144706,0.1648441798224142,0.0499952520849789,1195,18,1209,487,1185,986,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.15,0.162847361615512,0.0517345475665423
