ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693387982884241343,-0.4363198060046076,-0.2501572834980871,0.5763384009283609,2.3542296239260976,-0.44003071121659715,0.5822485195242719,-0.6053650332307667,0.3488602049593018,-0.5841780001047114,0.0055795058549786836,369,253,121,566,103,1065,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.05,-0.658608290187732,0.026850688840119
1693388024976830006,-0.3901029197829857,-0.2502149510785724,0.6437992532850454,2.0222831879265093,-0.3947078030036354,0.6511366343054997,-0.551365842832766,0.3762118865846308,-0.5097498253305466,0.017352315195038437,436,165,200,529,215,1047,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.05,-0.600000004163615,0.0500000002294154
1693388061056765795,-0.32542516473331945,-0.2502858368705335,0.7106889788735253,1.4717517013457506,-0.3283632546788277,0.7073939593392407,-0.4392788765652823,0.3800447119110231,-0.45592586959106185,0.010756543056740453,529,95,357,525,294,1057,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.05,-0.499999946172262,0.0499999016148806
1693388088617367029,-0.2662931171846998,-0.2504115745859413,0.7544350697508078,1.0241203443811626,-0.2664924209103048,0.7540517526040946,-0.34299799830837197,0.39629492003102185,-0.3705470025062144,0.021928661590714382,614,38,492,504,421,1040,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.05,-0.400000001406557,0.0500000040079047
1693388113004684210,-0.21368620890224635,-0.25038164831475274,0.7836554080828397,0.5926753462732577,-0.20707031596823872,0.7866612752662155,-0.24795716274840215,0.409696660428571,-0.2730168679742559,0.035174891939444675,694,-1,624,487,565,1020,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.05,-0.299999958783103,0.049999924666203
1693388132213511944,-0.18044607724916373,-0.2502957047617176,0.798513850374619,0.044239174889539316,-0.17860716124350987,0.801846054641489,-0.16966868903980953,0.42155255207554526,-0.1931710027909209,0.045851635446571004,732,-19,732,472,682,1004,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.05,-0.199999958957799,0.0499999029893412
1693388144407097578,-0.08603712698980891,-0.2504318836626419,0.7984470690058795,-0.0005443365284497519,-0.08249738185659469,0.8035605721201872,-0.0657716327900507,0.4232351931841388,-0.0863555837256434,0.04722707794686809,858,-19,874,471,837,1002,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.05,-0.0999999992501517,0.0499999991736391
1693388158772243738,0.0142287425178894,-0.2502787512920568,0.7985410915145494,0.00034898696693719673,0.019420857211547217,0.8020952740982834,0.03200940313015932,0.4233673515640594,0.014777503039110462,0.04927897692601457,991,-15,1007,472,983,999,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.05,-1.08316904415691e-09,0.0500000035643628
1693388170464592695,0.11402848948987036,-0.2502770495900789,0.798524191504951,0.0009072788512810134,0.12100210310606963,0.8038997122582913,0.1316396632676719,0.41976034945818547,0.11500520889853694,0.0479744878370596,1123,-15,1142,478,1127,1001,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.05,0.0999999945552382,0.0499999890049697
1693388191344057083,0.1867807921807973,-0.25037387944749134,0.7956831194675725,-0.21856904421883244,0.18967768340468716,0.8010030817749217,0.22877406031909298,0.42137631332394965,0.2191450625463271,0.04599140884449293,1212,-10,1273,477,1276,1004,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.05,0.199999997063769,0.0500000033383751
